ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD02636,Flumevale,No,Water Supply,Concrete,2.018,0.017,,1968.0,1968M,,,Controlled,24/10/2013,,8.16,Significant,Not Rated,,0.1547,416.3,441.8,52.6
SOAD02906,Flumevale,Yes,,Earth,0.0,0.082,15650.0,1947.0,,0.01773,,,05/08/2020,1.0,0.0,High,Not Available,,0.1355,30.6,651.4,
SOAD03835,Flumevale,No,Recreation,Concrete,18.142,0.224,,1908.0,2010M,,,Uncontrolled,15/09/2020,1.0,5.0,High,Not Rated,,0.0891,486.8,794.9,8.9
SOAD05705,Flumevale,No,Recreation,Earth,8.746,0.1,15000.0,1950.0,,,,Uncontrolled,22/10/2015,5.0,83.19,Significant,Not Rated,,0.1355,107.0,74.2,6.1
SOAD07112,Flumevale,No,Irrigation,Earth,7.961,0.262,9180.0,1918.0,,,,Controlled,28/09/2015,5.0,,Significant,Not Rated,,0.1108,219.6,160.6,38.9
SOAD07646,Flumevale,No,Other,Rockfill,4.43,0.023,,1899.0,,,,Uncontrolled,13/08/2020,,,Significant,Not Rated,,0.1495,301.1,118.8,
SOAD10398,Flumevale,No,Other,Rockfill,2.932,0.027,,1899.0,,,,Uncontrolled,25/07/2012,,,Significant,Not Rated,,0.1321,156.2,48.3,
SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,,1875.0,,,,Uncontrolled,26/02/2020,1.0,,High,Not Rated,,0.1203,851.5,772.2,
SOAD11108,Flumevale,No,Flood Risk Reduction,Earth,6.122,0.307,,2005.0,,,,,11/09/2018,5.0,,Significant,Not Available,,0.1411,256.9,461.9,
SOAD13361,Flumevale,No,Debris Control,Timber Crib,12.253,0.138,,1941.0,2012H,,,Uncontrolled,28/09/2015,,,Significant,Not Rated,,0.1454,461.4,341.7,
SOAD14563,Flumevale,No,Other,Rockfill,3.858,0.03,,1899.0,,,,Uncontrolled,25/07/2012,,,Significant,Not Rated,,0.1324,223.3,368.4,
SOAD18122,Flumevale,No,Other,Earth,13.878,0.073,,1949.0,,,,Uncontrolled,26/02/2020,1.0,0.16,High,Not Rated,,0.102,925.1,619.9,
SOAD00531,Flumevale,No,Hydroelectric,Concrete,5.452,2.467,,1988.0,,,,,31/08/2023,1.0,16.83,Significant,Satisfactory,29/09/2023,0.1362,441.6,446.0,78.2
SOAD08570,Flumevale,No,,Concrete,3.451,,,,,0.00788,,,29/08/2023,1.0,,Significant,Satisfactory,29/09/2023,0.1192,8.6,196.4,
SOAD09546,Flumevale,No,Hydroelectric,,0.346,,,1988.0,,,,,30/09/2020,1.0,,Significant,Not Available,,0.1111,112.7,257.4,
SOAD15319,Flumevale,No,Hydroelectric,Rockfill,12.066,,,1965.0,,,35962.40487,Uncontrolled,01/08/2023,1.0,75.25,Significant,Satisfactory,29/09/2023,0.1101,171.3,216.0,55.9
SOAD19425,Flumevale,No,Flood Risk Reduction,Earth,27.419,0.347,220000.0,1971.0,,0.00788,,,06/07/2023,1.0,6.32,High,Satisfactory,29/09/2023,0.1104,16.4,201.5,
SOAD03833,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.977,0.115,2773.0,1983.0,1996,0.00788,0.0,Uncontrolled,18/06/2020,2.0,11.26,Significant,Satisfactory,18/06/2020,0.1354,39.8,121.9,
SOAD14182,Flumevale,No,Tailings,Earth,8.658,0.267,,,,,,,,,4.75,High,Not Available,,0.1235,844.9,374.4,
SOAD02312,Flumevale,No,Other,Earth,10.679,0.08,,,,,,,,,1.67,Significant,Not Available,,0.1661,306.3,365.5,
