ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD00072,Navaldia,Yes,Recreation,Earth,0.0,0.1013,26535.199999999983,1937.0,2011.0,0.02364,2.66329,Missing,2.0,13.189999999999998,Significant,Satisfactory,2016.2,0.1258,20.8,296.9,8.1
SOAD00380,Navaldia,No,Missing,Earth,2.713,1.7534,36780.00000000003,1927.0,2011.0,33.432476,4037.54764,Missing,5.0,12.778,High,Not Available,2020.3,0.0757,930.5,727.5,28.28
SOAD00610,Navaldia,Yes,Recreation,Earth,0.0,0.17069999999999996,148303.5,1941.0,2011.0,0.3384459999999998,14.648094999999557,Missing,2.0,23.283,Significant,Satisfactory,2019.1,0.1375,355.5,427.3,8.6
SOAD00862,Navaldia,Yes,Missing,Missing,0.0,0.21739999999999998,3090.2000000000407,1962.0,2008.0,0.16154000000000046,21.838977999999997,Missing,2.0,13.36,Significant,Not Rated,2019.5,0.1403,295.1,25.3,13.66
SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,75750.0,1981.0,1989.0,0.04728,2.3969609999999193,Uncontrolled,3.0,16.43,High,Not Rated,2010.1,0.0998,11.5,203.0,5.6
SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,42500.0,1998.0,1993.0,0.06107,3.1959479999998166,Uncontrolled,2.8,2.475999999999999,High,Unsatisfactory,2010.1,0.1283,11.5,733.7,8.2
SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,69970.0,1982.0,1990.0,0.04137,9.58784400000036,Uncontrolled,2.7,0.0,High,Unsatisfactory,2011.0,0.1394,7.3,248.5,9.5
SOAD02636,Flumevale,No,Water Supply,Concrete,2.018,0.017,44062.19999999998,1968.0,1968.0,0.6634959999999999,274.31887000000006,Controlled,2.0,8.16,Significant,Not Rated,2018.0,0.1547,416.3,441.8,52.6
SOAD02906,Flumevale,Yes,Missing,Earth,0.0,0.082,15650.0,1947.0,2004.0,0.01773,10.65316000000007,Missing,1.0,0.0,High,Not Available,2018.0,0.1355,30.6,651.4,38.23
SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,667843.8,1962.0,1991.0,19.1484,1232.037954,Uncontrolled,5.0,7.06,High,Missing,2021.0,0.0853,814.7,277.8,53.4
SOAD03835,Flumevale,No,Recreation,Concrete,18.142,0.224,185799.19999999998,1908.0,2010.0,2.093125,357.4135179999996,Uncontrolled,1.0,5.0,High,Not Rated,2020.3,0.0891,486.8,794.9,8.9
SOAD04339,Navaldia,Yes,Recreation,Earth,8.084,0.14,93875.89999999998,1933.0,2008.0,0.7927280000000001,2.66329,Missing,2.0,43.408,Significant,Fair,2019.5,0.1198,463.4,228.2,5.1
SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,0.0,0.1461,338985.0,1994.0,2006.0,1.894549,6.658224999999902,Missing,1.0,5.287000000000001,High,Not Rated,2021.3,0.1131,874.0,743.5,9.190000000000001
SOAD05158,Navaldia,Yes,Recreation,Earth,4.848,0.12110000000000004,9297.199999999983,1939.0,2010.0,0.00788,2.66329,Missing,2.0,31.593,Significant,Fair,2018.3,0.1556,13.9,25.1,2.9
SOAD05688,Navaldia,Yes,Irrigation,Earth,0.0,0.10040000000000004,57112.062999999995,1986.0,2010.0,0.014971999999999763,2.66329,Missing,2.0,19.98,Significant,Satisfactory,2014.2,0.1126,106.2,189.6,47.1
SOAD05705,Flumevale,No,Recreation,Earth,8.746,0.1,15000.0,1950.0,1994.0,0.02718599999999949,715.093365,Uncontrolled,5.0,83.19,Significant,Not Rated,2015.9,0.1355,107.0,74.2,6.1
SOAD06129,Navaldia,No,Flood Risk Reduction,Rockfill,10.0,3.913,1698920.8,1979.0,1994.0,5.2939810000000005,993.1408409999999,Uncontrolled,5.0,6.782999999999996,High,Not Available,2019.8,0.0598,622.1,806.0,36.3
SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,79769.6,2001.0,1996.0,0.0453099999999999,322.25809,Missing,3.0,8.09,High,Not Rated,2011.8,0.0837,27.3,278.2,8.1
SOAD07112,Flumevale,No,Irrigation,Earth,7.961,0.262,9180.0,1918.0,1960.0,6.5055309999999995,97226.597398,Controlled,5.0,21.783,Significant,Not Rated,2017.6,0.1108,219.6,160.6,38.9
SOAD07546,Lyndrassia,Yes,Missing,Missing,16.22,0.283,3953.4000000000233,1970.0,2009.0,4.300313,366.20237499999985,Missing,3.0,9.273,High,Missing,2019.6,0.0736,615.9,700.1,19.12
SOAD07646,Flumevale,No,Other,Rockfill,4.43,0.023,13390.100000000006,1899.0,1993.0,20.864860999999998,4418.131781,Uncontrolled,2.1,40.465,Significant,Not Rated,2020.6,0.1495,301.1,118.8,32.6
SOAD07707,Lyndrassia,Yes,Tailings,Missing,0.0,0.3438,0.0,1961.0,2008.0,2.16503,201.34472400000004,Missing,2.6,1.5479999999999983,High,Satisfactory,2018.0,0.1036,120.3,918.2,28.34
SOAD10398,Flumevale,No,Other,Rockfill,2.932,0.027,14370.50000000003,1899.0,1994.0,20.750207,4588.049683,Uncontrolled,2.8,33.38,Significant,Not Rated,2022.0,0.1321,156.2,48.3,41.9
SOAD10407,Lyndrassia,Yes,Missing,Missing,16.57,1.4821,765695.8,1990.0,1996.0,1.4792729999999996,3.7286059999998997,Uncontrolled,3.8999999999999995,8.69,High,Satisfactory,2020.0,0.0927,651.7,425.6,28.669999999999998
SOAD10567,Lyndrassia,Yes,Missing,Earth,35.081,0.322,0.0,1959.0,2001.0,0.2423099999999998,5.592909000000191,Missing,0.0,2.35,Significant,Satisfactory,2011.0,0.114,230.5,534.4,28.02
SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,24522.099999999977,1875.0,1992.0,5.703543999999999,34.88909899999976,Uncontrolled,1.0,6.509,High,Not Rated,2022.3,0.1203,851.5,772.2,38.41
SOAD11005,Navaldia,No,Flood Risk Reduction,Earth,16.88,2.235,2300000.0,1966.0,2009.0,0.0,0.0,Missing,5.0,9.636000000000001,High,Not Available,2017.5,0.0615,13.3,621.3,25.37
SOAD11108,Flumevale,No,Flood Risk Reduction,Earth,6.122,0.307,86759.99999999999,2005.0,1990.0,0.1857709999999999,1310.3386799999998,Missing,5.0,10.762,Significant,Not Available,2015.9,0.1411,256.9,461.9,27.71
