ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,67700.0,1981.0,1989.0,0.04728,2.1306319999998777,Uncontrolled,3.0,16.43,High,Not Rated,2010.8,0.0998,11.5,203.0,5.6,220.1,21.96598
SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,48400.0,1998.0,1995.0,0.06107,5.326579999999922,Uncontrolled,3.0,3.323999999999998,High,Unsatisfactory,2007.4,0.1283,11.5,733.7,8.2,753.4000000000001,96.66122000000001
SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,86000.0,1976.0,1991.0,0.04137,14.914423999999826,Uncontrolled,3.0,0.0,High,Unsatisfactory,2007.0,0.1394,7.3,248.5,9.5,265.3,36.982820000000004
SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,1081097.5999999999,1964.0,1989.0,19.1484,931.086184,Uncontrolled,5.0,7.06,High,Missing,2021.2,0.0853,814.7,277.8,53.4,1145.9,97.74527
SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,40860.0,2001.0,1999.0,0.0453099999999999,322.25809,Missing,3.0,8.09,High,Not Rated,2014.2,0.0837,27.3,278.2,8.1,313.6,26.24832
SOAD07546,Lyndrassia,Yes,Missing,Missing,16.22,0.283,0.0,1985.0,2009.0,7.098698000000001,353.68491200000017,Missing,3.0,16.374000000000002,High,Missing,2019.0,0.0736,615.9,700.1,17.52,1333.52,98.147072
SOAD07707,Lyndrassia,Yes,Tailings,Missing,0.0,0.26839999999999997,0.0,1956.0,2007.0,2.16503,239.16344200000003,Missing,4.0,2.187999999999999,High,Satisfactory,2018.0,0.1036,120.3,918.2,20.16,1058.66,109.677176
SOAD10407,Lyndrassia,Yes,Missing,Missing,16.57,0.6254,1340272.6,1990.0,1993.0,2.5444519999999997,4.261263999999983,Uncontrolled,4.0,8.69,High,Satisfactory,2020.0,0.0927,651.7,425.6,45.599999999999994,1122.9,104.09283000000002
SOAD10567,Lyndrassia,Yes,Missing,Earth,35.081,0.3242,0.0,1967.0,1998.0,0.33568799999999976,3.7286059999998997,Missing,0.0,2.35,Significant,Satisfactory,2011.0,0.114,230.5,534.4,28.240000000000002,793.14,90.41796000000001
SOAD11302,Lyndrassia,Yes,Recreation,Earth,14.782,0.153,25600.00000000003,1996.0,1992.0,0.04925,3.1959479999998166,Uncontrolled,3.0,5.9719999999999995,High,Unsatisfactory,2010.0,0.1387,30.2,611.4,5.5,647.1,89.75277
SOAD11500,Lyndrassia,Yes,Missing,Earth,15.276,0.21760000000000002,52647.399999999994,1984.0,2000.0,0.14381,2.6632899999997335,Missing,2.0,6.58,High,Unsatisfactory,2009.6,0.1316,6.8,320.1,4.520000000000003,331.42,43.614872
SOAD12360,Lyndrassia,Yes,Recreation,Earth,16.119,0.4,89060.00000000001,1982.0,1998.0,0.04728,4.261263999999983,Uncontrolled,2.0,0.0,High,Unsatisfactory,2019.6,0.1421,30.9,948.3,6.5,985.6999999999999,140.06797
SOAD12606,Lyndrassia,Yes,Irrigation,Earth,15.807,0.317,99399.00000000001,2003.0,1998.0,0.44916,21.306319999999914,Uncontrolled,3.0,87.32,High,Not Rated,2016.2,0.1011,141.8,215.8,26.2,383.8,38.80218
SOAD12607,Lyndrassia,Yes,Recreation,Earth,17.347,0.1994,56000.0,1989.0,1990.0,0.06895,3.7286059999998997,Uncontrolled,3.0,3.323999999999998,High,Unsatisfactory,2007.0,0.1338,7.6,732.8,4.3,744.6999999999999,99.64085999999999
SOAD13714,Lyndrassia,Yes,Recreation,Earth,14.26,0.167,69200.00000000003,1988.0,1994.0,0.06304,3.1959479999998166,Uncontrolled,3.0,10.264,High,Unsatisfactory,2010.0,0.1413,39.5,576.5,3.6,619.6,87.54948
SOAD14020,Lyndrassia,Yes,Recreation,Earth,13.282,0.145,94000.00000000001,1976.0,1992.0,0.0394,14.914423999999826,Uncontrolled,3.0,21.46,High,Unsatisfactory,2007.0,0.1369,17.8,250.2,6.5,274.5,37.579049999999995
SOAD14661,Lyndrassia,Yes,Recreation,Earth,14.285,0.18900000000000003,56439.99999999997,1896.0,2003.0,0.08668,7.989869999999883,Missing,1.0,3.2360000000000007,High,Unsatisfactory,2011.6,0.1388,10.0,755.7,3.7,769.4000000000001,106.79272000000002
SOAD14832,Lyndrassia,Yes,Recreation,Earth,13.691,0.225,80200.00000000003,2002.0,1990.0,0.17336,2.130632000000105,Uncontrolled,3.0,10.264,High,Unsatisfactory,2013.0,0.1534,26.0,495.2,5.2,526.4000000000001,80.74976000000002
SOAD15761,Lyndrassia,No,Recreation,Earth,40.912,0.162,294000.0,1981.0,1994.0,2.786762,219.987754,Uncontrolled,1.0,17.39,High,Satisfactory,2019.0,0.0874,910.7,208.7,4.1,1123.5,98.1939
SOAD16079,Lyndrassia,Yes,Recreation,Earth,13.32,0.197,98213.00000000001,1983.0,1991.0,0.03349,3.7286059999998997,Uncontrolled,2.0,0.33399999999999963,High,Unsatisfactory,2016.4,0.1325,15.9,952.6,7.6,976.1,129.33325000000002
SOAD16467,Lyndrassia,Yes,Recreation,Earth,13.752,0.15,33060.00000000003,1981.0,1999.0,0.06304,4.261263999999983,Uncontrolled,3.0,0.6460000000000008,High,Unsatisfactory,2016.6,0.1381,33.2,932.1,8.7,974.0000000000001,134.50940000000003
SOAD16854,Lyndrassia,Yes,Recreation,Earth,13.08,0.292,25600.00000000003,1986.0,1992.0,0.05516,0.5326580000000831,Uncontrolled,3.0,13.52,High,Unsatisfactory,2009.8,0.1368,18.2,454.3,6.7,479.2,65.55456
SOAD17206,Lyndrassia,Yes,Other,Earth,12.642,0.133,77600.0,2002.0,1998.0,0.08077,3.1959479999998166,Uncontrolled,3.0,0.9879999999999995,High,Not Rated,2010.2,0.0951,27.1,863.9,5.98,896.98,85.30279800000001
SOAD17601,Lyndrassia,Yes,Recreation,Earth,14.216,0.175,46400.0,2012.0,1992.0,0.03743,1.0653159999997115,Uncontrolled,2.0,1.54,High,Unsatisfactory,2008.6,0.1175,12.7,552.7,9.5,574.9000000000001,67.55075000000001
SOAD17642,Lyndrassia,Yes,Missing,Missing,14.396,0.1872,91072.6,2018.0,2003.0,2.587792,0.5326580000000831,Missing,3.0,9.43,High,Not Rated,2019.0,0.0792,939.5,181.0,53.56,1174.06,92.985552
SOAD18020,Lyndrassia,Yes,Missing,Earth,28.472,0.2636,0.0,1987.0,2005.0,0.734022,46.341245999999956,Missing,0.0,2.43,Significant,Satisfactory,2011.0,0.1325,375.1,318.3,16.6,710.0000000000001,94.07500000000002
SOAD19679,Lyndrassia,Yes,Recreation,Earth,14.637,0.225,181004.99999999997,1979.0,2008.0,0.11426,2.6632899999997335,Uncontrolled,3.0,4.94,High,Not Rated,2012.4,0.111,30.4,927.7,4.9,963.0,106.893
SOAD12764,Lyndrassia,Yes,Flood Risk Reduction,Earth,13.925,0.1,30000.0,1989.0,1989.0,0.00788,0.0,Uncontrolled,2.0,7.74,High,Satisfactory,2007.0,0.0905,10.8,129.6,4.519999999999996,144.92000000000002,13.115260000000001
SOAD00979,Lyndrassia,Yes,Recreation,Earth,14.781,0.108,0.0,1996.0,2007.0,1.263952,2695.782138,Missing,1.0,1.69,High,Missing,2018.8,0.1556,479.6,579.1,6.2,1064.9,165.69844
SOAD09276,Lyndrassia,Yes,Other,Earth,22.852,0.1,43000.0,1993.0,1997.0,0.00788,0.0,Uncontrolled,2.0,21.262,Significant,Satisfactory,2007.0,0.114,35.1,293.8,6.779999999999999,335.68,38.267520000000005
SOAD07932,Lyndrassia,Yes,Other,Earth,14.982,0.07,0.0,1988.0,1988.0,0.00394,0.0,Uncontrolled,2.0,9.2,High,Satisfactory,2008.0,0.1094,9.9,248.4,4.279999999999998,262.58,28.726252
SOAD20522,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,15.395,0.073,0.0,1989.0,1991.0,0.00197,0.0,Uncontrolled,5.0,9.51,Significant,Not Rated,2007.0,0.1375,28.9,162.5,15.7,207.1,28.47625
SOAD03129,Lyndrassia,Yes,Missing,Earth,16.055,0.053,74600.00000000003,1999.0,1999.0,0.00394,0.0,Missing,3.0,6.780000000000001,Significant,Satisfactory,2007.0,0.1143,37.2,379.4,6.000000000000002,422.59999999999997,48.30318
SOAD16517,Lyndrassia,No,Missing,Earth,10.489,0.027,0.0,1985.0,1995.0,0.00591,21.30632,Missing,0.0,0.0,Significant,Not Rated,2014.0,0.1392,39.4,287.2,26.380000000000003,352.97999999999996,49.134815999999994
SOAD16190,Lyndrassia,Yes,Missing,Earth,19.243,0.053,142300.0,1970.0,2011.0,0.00394,0.0,Uncontrolled,3.0,0.1,High,Satisfactory,2012.0,0.0811,26.7,137.0,6.68,170.38,13.817818
SOAD08735,Lyndrassia,No,Missing,Earth,17.885,0.14,36768.40000000002,1966.0,2002.0,0.07486,868.23254,Uncontrolled,1.0,14.088,High,Poor,2019.0,0.1245,46.5,512.9,7.040000000000001,566.4399999999999,70.52177999999999
SOAD14049,Lyndrassia,Yes,Recreation,Earth,6.984,0.127,0.0,1963.0,2012.0,0.3790279999999999,10.120501999999988,Missing,1.0,71.71,Significant,Missing,2018.4,0.1273,249.2,191.3,4.9,445.4,56.699419999999996
SOAD16126,Lyndrassia,No,Recreation,Earth,6.16,0.21940000000000004,0.0,1990.0,1996.0,0.00788,727.07817,Uncontrolled,0.0,1.66,High,Not Rated,2016.0,0.0874,17.0,667.1,7.3,691.4,60.428360000000005
SOAD01088,Lyndrassia,No,Missing,Earth,7.251,0.1784,0.0,1946.0,1997.0,0.00788,266.329,Missing,0.0,8.14,High,Not Rated,2014.0,0.107,30.9,199.1,14.14,244.14,26.12298
SOAD08992,Lyndrassia,No,Recreation,Missing,7.043,0.10239999999999999,0.0,1991.0,1975.0,0.00788,1150.0086220000003,Missing,0.0,0.0,High,Not Rated,2019.0,0.0973,40.6,890.8,7.1,938.5,91.31605
SOAD00525,Lyndrassia,Yes,Recreation,Earth,21.487,0.077,35000.0,1995.0,1995.0,0.01576,0.0,Uncontrolled,2.0,0.0,High,Satisfactory,2007.0,0.0843,5.5,925.7,5.2,936.4000000000001,78.93852000000001
