ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
SOAD00072,Navaldia,Yes,Recreation,Earth,0.0,0.11099999999999999,29663.800000000017,1944.0,2012.0,0.02364,2.66329,Missing,2.0,13.44,Significant,Satisfactory,2018.0,0.1258,20.8,296.9,8.1,325.8,40.98564
SOAD00380,Navaldia,No,Missing,Earth,2.713,1.4168,3000.0,1927.0,2008.0,52.612002000000004,7764.023008,Missing,5.0,3.594000000000001,High,Not Available,2022.0,0.0757,930.5,727.5,28.24,1686.24,127.648368
SOAD00610,Navaldia,Yes,Recreation,Earth,0.0,0.15180000000000002,254307.0,1956.0,2010.0,0.39793999999999974,9.58784400000036,Missing,2.0,35.635999999999996,Significant,Satisfactory,2019.6,0.1375,355.5,427.3,8.6,791.4,108.81750000000001
SOAD00862,Navaldia,Yes,Missing,Missing,0.0,0.2868,0.0,1943.0,2007.0,0.24703799999999987,15.979739999999993,Missing,2.0,20.152,Significant,Not Rated,2019.2,0.1403,295.1,25.3,17.4,337.8,47.39334
SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,67700.0,1981.0,1989.0,0.04728,2.1306319999998777,Uncontrolled,3.0,16.43,High,Not Rated,2010.8,0.0998,11.5,203.0,5.6,220.1,21.96598
SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,48400.0,1998.0,1995.0,0.06107,5.326579999999922,Uncontrolled,3.0,3.323999999999998,High,Unsatisfactory,2007.4,0.1283,11.5,733.7,8.2,753.4000000000001,96.66122000000001
SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,86000.0,1976.0,1991.0,0.04137,14.914423999999826,Uncontrolled,3.0,0.0,High,Unsatisfactory,2007.0,0.1394,7.3,248.5,9.5,265.3,36.982820000000004
SOAD02636,Flumevale,No,Water Supply,Concrete,2.018,0.017,50963.0,1968.0,1968.0,0.70723,260.46976199999995,Controlled,2.0,8.16,Significant,Not Rated,2018.2,0.1547,416.3,441.8,52.6,910.7,140.88529
SOAD02906,Flumevale,Yes,Missing,Earth,0.0,0.082,15650.0,1947.0,2007.0,0.01773,7.457212000000254,Missing,1.0,0.0,High,Not Available,2017.0,0.1355,30.6,651.4,39.68000000000001,721.6800000000001,97.78764000000001
SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,1081097.5999999999,1964.0,1989.0,19.1484,931.086184,Uncontrolled,5.0,7.06,High,Missing,2021.2,0.0853,814.7,277.8,53.4,1145.9,97.74527
SOAD03835,Flumevale,No,Recreation,Concrete,18.142,0.224,314208.8,1908.0,2010.0,3.194158,411.2119759999996,Uncontrolled,1.0,5.0,High,Not Rated,2021.4,0.0891,486.8,794.9,8.9,1290.6000000000001,114.99246000000001
SOAD04339,Navaldia,Yes,Recreation,Earth,8.084,0.14,39600.0,1928.0,2006.0,0.900684,2.66329,Missing,2.0,38.632,Significant,Fair,2019.6,0.1198,463.4,228.2,5.1,696.6999999999999,83.46466
SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,0.0,0.12020000000000003,186684.0,1987.0,2005.0,1.326992,4.793922000000066,Missing,1.0,6.286,High,Not Rated,2021.2,0.1131,874.0,743.5,8.44,1625.94,183.89381400000002
SOAD05158,Navaldia,Yes,Recreation,Earth,4.848,0.1594,8322.200000000012,1938.0,2011.0,0.00788,2.66329,Missing,2.0,44.536,Significant,Fair,2017.8,0.1556,13.9,25.1,2.9,41.9,6.519639999999999
SOAD05688,Navaldia,Yes,Irrigation,Earth,0.0,0.10400000000000004,75342.32600000003,1993.0,2011.0,0.010637999999999703,2.66329,Missing,2.0,5.500000000000002,Significant,Satisfactory,2014.2,0.1126,106.2,189.6,47.1,342.90000000000003,38.61054000000001
SOAD05705,Flumevale,No,Recreation,Earth,8.746,0.1,15000.0,1950.0,1996.0,0.027974000000000387,564.6174800000001,Uncontrolled,5.0,83.19,Significant,Not Rated,2016.0,0.1355,107.0,74.2,6.1,187.29999999999998,25.37915
SOAD06129,Navaldia,No,Flood Risk Reduction,Rockfill,10.0,3.913,1236201.6,1979.0,1993.0,3.9994940000000003,947.065924,Uncontrolled,5.0,8.464,High,Not Available,2018.6,0.0598,622.1,806.0,60.739999999999995,1488.84,89.03263199999999
SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,40860.0,2001.0,1999.0,0.0453099999999999,322.25809,Missing,3.0,8.09,High,Not Rated,2014.2,0.0837,27.3,278.2,8.1,313.6,26.24832
SOAD07112,Flumevale,No,Irrigation,Earth,7.961,0.262,9180.0,1918.0,1969.0,12.415334,34.622769999999946,Controlled,5.0,20.448,Significant,Not Rated,2018.4,0.1108,219.6,160.6,38.9,419.09999999999997,46.43628
SOAD07546,Lyndrassia,Yes,Missing,Missing,16.22,0.283,0.0,1985.0,2009.0,7.098698000000001,353.68491200000017,Missing,3.0,16.374000000000002,High,Missing,2019.0,0.0736,615.9,700.1,17.52,1333.52,98.147072
SOAD07646,Flumevale,No,Other,Rockfill,4.43,0.023,22320.20000000001,1899.0,1999.0,40.394456,1050.4015760000002,Uncontrolled,2.0,24.76,Significant,Not Rated,2021.2,0.1495,301.1,118.8,35.18,455.08000000000004,68.03446000000001
SOAD07707,Lyndrassia,Yes,Tailings,Missing,0.0,0.26839999999999997,0.0,1956.0,2007.0,2.16503,239.16344200000003,Missing,4.0,2.187999999999999,High,Satisfactory,2018.0,0.1036,120.3,918.2,20.16,1058.66,109.677176
SOAD10398,Flumevale,No,Other,Rockfill,2.932,0.027,22274.20000000001,1899.0,1999.0,40.346782000000005,8242.349891999998,Uncontrolled,2.0,34.268,Significant,Not Rated,2022.4,0.1321,156.2,48.3,42.16,246.66,32.583785999999996
SOAD10407,Lyndrassia,Yes,Missing,Missing,16.57,0.6254,1340272.6,1990.0,1993.0,2.5444519999999997,4.261263999999983,Uncontrolled,4.0,8.69,High,Satisfactory,2020.0,0.0927,651.7,425.6,45.599999999999994,1122.9,104.09283000000002
SOAD10567,Lyndrassia,Yes,Missing,Earth,35.081,0.3242,0.0,1967.0,1998.0,0.33568799999999976,3.7286059999998997,Missing,0.0,2.35,Significant,Satisfactory,2011.0,0.114,230.5,534.4,28.240000000000002,793.14,90.41796000000001
SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,16835.199999999983,1875.0,2002.0,8.512369999999999,53.2657999999999,Uncontrolled,1.0,7.388,High,Not Rated,2022.6,0.1203,851.5,772.2,40.54,1664.24,200.20807200000002
