ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,,1981.0,,0.04728,,Uncontrolled,24/09/2021,3.0,16.43,High,Not Rated,,0.0998,11.5,203.0,5.6
SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,,1998.0,,0.06107,,Uncontrolled,,,,High,Unsatisfactory,,0.1283,11.5,733.7,8.2
SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,,,,0.04137,,Uncontrolled,,,0.0,High,Unsatisfactory,,0.1394,7.3,248.5,9.5
SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,,,,19.1484,,Uncontrolled,,,7.06,High,,,0.0853,814.7,277.8,53.4
SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,,2001.0,,0.0453099999999999,322.25809,,,3.0,8.09,High,Not Rated,,0.0837,27.3,278.2,8.1
SOAD07546,Lyndrassia,Yes,,,16.22,0.283,,,,,,,,3.0,,High,,,0.0736,615.9,700.1,
SOAD07707,Lyndrassia,Yes,Tailings,,0.0,,0.0,,,2.16503,,,,,,High,Satisfactory,29/06/2018,0.1036,120.3,918.2,
SOAD10407,Lyndrassia,Yes,,,16.57,,,1990.0,,,,Uncontrolled,08/01/2020,,8.69,High,Satisfactory,13/07/2020,0.0927,651.7,425.6,
SOAD10567,Lyndrassia,Yes,,Earth,35.081,,0.0,,,,,,30/08/2011,0.0,2.35,Significant,Satisfactory,20/07/2011,0.114,230.5,534.4,
SOAD11302,Lyndrassia,Yes,Recreation,Earth,14.782,0.153,,1996.0,,0.04925,,Uncontrolled,,,,High,Unsatisfactory,,0.1387,30.2,611.4,5.5
SOAD11500,Lyndrassia,Yes,,Earth,15.276,,,,,0.14381,,,,,6.58,High,Unsatisfactory,,0.1316,6.8,320.1,
SOAD12360,Lyndrassia,Yes,Recreation,Earth,16.119,0.4,,1982.0,,0.04728,,Uncontrolled,,,0.0,High,Unsatisfactory,,0.1421,30.9,948.3,6.5
SOAD12606,Lyndrassia,Yes,Irrigation,Earth,15.807,0.317,,2003.0,,0.44916,,Uncontrolled,07/09/2021,3.0,87.32,High,Not Rated,,0.1011,141.8,215.8,26.2
SOAD12607,Lyndrassia,Yes,Recreation,Earth,17.347,,,,,0.06895,,Uncontrolled,,,,High,Unsatisfactory,,0.1338,7.6,732.8,4.3
SOAD13714,Lyndrassia,Yes,Recreation,Earth,14.26,0.167,,1988.0,,0.06304,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1413,39.5,576.5,3.6
SOAD14020,Lyndrassia,Yes,Recreation,Earth,13.282,0.145,,,,0.0394,,Uncontrolled,,,21.46,High,Unsatisfactory,,0.1369,17.8,250.2,6.5
SOAD14661,Lyndrassia,Yes,Recreation,Earth,14.285,,,,,0.08668,,,,,,High,Unsatisfactory,,0.1388,10.0,755.7,3.7
SOAD14832,Lyndrassia,Yes,Recreation,Earth,13.691,0.225,,2002.0,,0.17336,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1534,26.0,495.2,5.2
SOAD15761,Lyndrassia,No,Recreation,Earth,40.912,0.162,294000.0,1981.0,,,,Uncontrolled,25/04/2021,1.0,17.39,High,Satisfactory,11/10/2019,0.0874,910.7,208.7,4.1
SOAD16079,Lyndrassia,Yes,Recreation,Earth,13.32,0.197,,,,0.03349,,Uncontrolled,,,,High,Unsatisfactory,,0.1325,15.9,952.6,7.6
SOAD16467,Lyndrassia,Yes,Recreation,Earth,13.752,0.15,,1981.0,,0.06304,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1381,33.2,932.1,8.7
SOAD16854,Lyndrassia,Yes,Recreation,Earth,13.08,0.292,,1986.0,,0.05516,,Uncontrolled,,,13.52,High,Unsatisfactory,,0.1368,18.2,454.3,6.7
SOAD17206,Lyndrassia,Yes,Other,Earth,12.642,0.133,,2002.0,,0.08077,,Uncontrolled,07/09/2021,3.0,,High,Not Rated,,0.0951,27.1,863.9,
SOAD17601,Lyndrassia,Yes,Recreation,Earth,14.216,0.175,,2012.0,,0.03743,,Uncontrolled,,,1.54,High,Unsatisfactory,,0.1175,12.7,552.7,9.5
SOAD17642,Lyndrassia,Yes,,,14.396,,,2018.0,,,,,29/08/2022,3.0,9.43,High,Not Rated,11/07/2019,0.0792,939.5,181.0,
SOAD18020,Lyndrassia,Yes,,Earth,28.472,,0.0,,,,,,30/08/2011,0.0,2.43,Significant,Satisfactory,20/07/2011,0.1325,375.1,318.3,
SOAD19679,Lyndrassia,Yes,Recreation,Earth,14.637,0.225,,,2008,0.11426,,Uncontrolled,,3.0,4.94,High,Not Rated,,0.111,30.4,927.7,4.9
SOAD12764,Lyndrassia,Yes,Flood Risk Reduction,Earth,13.925,0.1,30000.0,1989.0,1989,0.00788,0.0,Uncontrolled,14/05/2020,2.0,7.74,High,Satisfactory,19/12/2007,0.0905,10.8,129.6,
SOAD00979,Lyndrassia,Yes,Recreation,Earth,14.781,0.108,,1996.0,,,,,,,1.69,High,,,0.1556,479.6,579.1,6.2
SOAD09276,Lyndrassia,Yes,Other,Earth,22.852,0.1,43000.0,1993.0,1997,0.00788,0.0,Uncontrolled,19/01/2023,2.0,,Significant,Satisfactory,21/12/2007,0.114,35.1,293.8,
SOAD07932,Lyndrassia,Yes,Other,Earth,14.982,0.07,0.0,1988.0,1988,0.00394,0.0,Uncontrolled,04/04/2023,2.0,9.2,High,Satisfactory,04/09/2008,0.1094,9.9,248.4,
SOAD20522,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,15.395,0.073,0.0,1989.0,,0.00197,0.0,Uncontrolled,12/12/2021,5.0,9.51,Significant,Not Rated,19/12/2007,0.1375,28.9,162.5,
SOAD03129,Lyndrassia,Yes,,Earth,16.055,0.053,,1999.0,1999,0.00394,0.0,,02/11/2021,,,Significant,Satisfactory,19/12/2007,0.1143,37.2,379.4,
SOAD16517,Lyndrassia,No,,Earth,10.489,0.027,0.0,,,0.00591,21.30632,,,0.0,0.0,Significant,Not Rated,,0.1392,39.4,287.2,
SOAD16190,Lyndrassia,Yes,,Earth,19.243,0.053,,1970.0,2011,0.00394,0.0,Uncontrolled,24/06/2020,3.0,0.1,High,Satisfactory,27/08/2012,0.0811,26.7,137.0,
SOAD08735,Lyndrassia,No,,Earth,17.885,0.14,,,,0.07486,868.23254,Uncontrolled,19/04/2021,1.0,,High,Poor,11/10/2019,0.1245,46.5,512.9,
SOAD14049,Lyndrassia,Yes,Recreation,Earth,6.984,0.127,,1963.0,,,,,,,71.71,Significant,,,0.1273,249.2,191.3,4.9
SOAD16126,Lyndrassia,No,Recreation,Earth,6.16,,0.0,1990.0,,0.00788,727.07817,Uncontrolled,,0.0,1.66,High,Not Rated,,0.0874,17.0,667.1,7.3
SOAD01088,Lyndrassia,No,,Earth,7.251,,0.0,,,0.00788,266.329,,,0.0,8.14,High,Not Rated,,0.107,30.9,199.1,
SOAD08992,Lyndrassia,No,Recreation,,7.043,,0.0,1991.0,,0.00788,,,,0.0,0.0,High,Not Rated,,0.0973,40.6,890.8,7.1
SOAD00525,Lyndrassia,Yes,Recreation,Earth,21.487,0.077,35000.0,1995.0,1995,0.01576,0.0,Uncontrolled,05/08/2020,2.0,0.0,High,Satisfactory,21/12/2007,0.0843,5.5,925.7,5.2
SOAD11043,Lyndrassia,No,Recreation,,7.922,,0.0,1990.0,,0.00788,,,,0.0,0.0,Significant,Not Rated,,0.1553,12.3,347.8,3.7
SOAD20623,Lyndrassia,No,Recreation,,7.612,,0.0,1990.0,,0.00788,,,,0.0,0.0,High,Not Rated,,0.1459,19.4,317.7,7.1
SOAD07856,Lyndrassia,Yes,Flood Risk Reduction,Earth,14.225,0.117,45000.0,1992.0,1991,0.01576,0.0,Uncontrolled,02/06/2021,3.0,0.0,High,Satisfactory,21/12/2007,0.0924,42.4,216.5,
SOAD03483,Lyndrassia,No,Grade Stabilization,Earth,11.399,0.071,7290.0,1993.0,,0.05319,1251.7463,Uncontrolled,,0.0,,Low,Not Rated,,0.0772,18.7,10.5,
SOAD03983,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.229,0.043,,1938.0,,,,,,,10.07,Low,,,0.0782,19.0,334.5,
SOAD06212,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.247,0.133,2000.0,1965.0,,0.00788,93.21515,Uncontrolled,,0.0,,Low,Not Rated,,0.0931,33.0,22.8,
SOAD06951,Lyndrassia,Yes,Flood Risk Reduction,Earth,15.695,0.117,0.0,1992.0,1991,0.01773,0.0,Uncontrolled,02/06/2021,3.0,0.0,High,Satisfactory,21/12/2007,0.0858,8.8,707.7,
SOAD14676,Lyndrassia,No,Grade Stabilization,Earth,11.913,0.074,6250.0,1997.0,,0.00788,0.0,Uncontrolled,,,101.95,Low,Not Available,,0.0921,31.9,96.9,
SOAD00944,Lyndrassia,No,Grade Stabilization,Earth,10.153,0.092,9558.0,1996.0,,0.00788,234.36952,Uncontrolled,,0.0,,Low,Not Rated,,0.1034,35.8,9.9,
SOAD05797,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.642,0.157,9450.0,1983.0,,0.03152,873.55912,,,0.0,,Low,Not Rated,,0.1136,12.4,19.3,
SOAD08010,Lyndrassia,No,,,7.31,,0.0,,,0.01773,,,,0.0,0.0,High,Not Rated,,0.1324,45.1,302.6,
SOAD08042,Lyndrassia,No,Grade Stabilization,Earth,11.472,0.073,5313.0,1997.0,,0.03349,1997.4675,Uncontrolled,,0.0,,Low,Not Rated,,0.0798,45.7,18.3,
SOAD09511,Lyndrassia,Yes,,,12.921,0.034,,2004.0,,0.00985,2.66329,,,,7.84,Significant,Unsatisfactory,25/05/2016,0.1919,20.7,471.7,
SOAD10809,Lyndrassia,No,Recreation,Earth,10.791,,0.0,1989.0,,0.00788,138.49108,,,0.0,11.76,High,Not Rated,,0.0949,44.6,427.2,4.8
SOAD14804,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",,10.557,,0.0,1990.0,,0.00788,,,,0.0,0.0,Significant,Not Rated,,0.1487,17.4,115.5,
SOAD17444,Lyndrassia,No,Grade Stabilization,Earth,9.692,0.089,7960.0,1995.0,,0.06501,1858.97642,Uncontrolled,,0.0,,Low,Not Rated,,0.0807,18.4,15.4,
SOAD19597,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.491,0.153,9180.0,1983.0,,0.11229,1592.64742,,,0.0,,Low,Not Rated,,0.0633,45.0,15.3,
SOAD19832,Lyndrassia,Yes,Irrigation,Earth,9.682,0.09,,1951.0,,,,,,,50.43,Low,,,0.1125,15.6,153.1,35.1
SOAD00787,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.937,0.117,2800.0,1962.0,,0.03349,1669.88283,Uncontrolled,,0.0,,Low,Not Rated,,0.1295,47.3,13.1,
SOAD04209,Lyndrassia,Yes,,Earth,15.981,0.222,30000.0,1980.0,,0.01773,0.0,Uncontrolled,13/10/2022,5.0,,Low,Satisfactory,21/12/2007,0.0474,42.4,12.0,
SOAD05241,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.608,0.1,6600.0,1967.0,,0.00788,1600.63729,Uncontrolled,,0.0,,Low,Not Rated,,0.077,34.7,15.8,
SOAD06200,Lyndrassia,No,Fish and Wildlife Pond,Earth,11.51,0.163,11556.0,1995.0,,0.01182,316.93151,Uncontrolled,,0.0,,Low,Not Rated,,0.1201,34.9,16.9,
SOAD06884,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,14.639,0.133,,1948.0,,,,,,,20.19,Low,,,0.1104,11.6,229.6,
SOAD11807,Lyndrassia,No,Other,Earth,12.239,,0.0,,,0.00788,149.14424,,,0.0,0.0,Low,Not Rated,,0.08,39.5,209.5,
SOAD12364,Lyndrassia,No,Grade Stabilization,Earth,10.979,0.093,7262.0,2002.0,,0.00788,290.29861,Uncontrolled,31/03/2004,0.0,,Low,Not Rated,,0.0878,42.0,9.6,
SOAD17341,Lyndrassia,No,Other,,8.921,,0.0,1983.0,,0.00788,495.37194,,,0.0,21.56,Low,Not Rated,,0.0593,39.0,102.8,
SOAD19003,Lyndrassia,No,Grade Stabilization,Earth,11.324,0.098,9558.0,1991.0,,0.00788,2471.53312,Uncontrolled,,0.0,,Low,Not Rated,,0.0692,38.9,5.9,
SOAD19272,Lyndrassia,No,Recreation,,11.092,,0.0,1983.0,,0.00788,53.2658,,,0.0,1.56,Low,Not Rated,,0.0795,43.0,470.4,4.0
SOAD01658,Lyndrassia,No,Grade Stabilization,Earth,8.902,0.123,9660.0,2009.0,,0.04925,356.88086,Uncontrolled,01/10/2009,0.0,,Low,Not Rated,,0.0889,6.3,11.1,
SOAD01811,Lyndrassia,No,Grade Stabilization,Earth,11.695,0.08,6151.0,1995.0,,0.06501,2407.61416,Uncontrolled,23/06/1995,0.0,,Low,Not Rated,,0.0796,24.8,6.2,
SOAD03452,Lyndrassia,No,Grade Stabilization,Earth,11.688,0.091,7528.0,1991.0,,0.02561,1273.05262,Uncontrolled,,0.0,,Low,Not Rated,,0.0832,17.1,21.4,
SOAD06864,Lyndrassia,No,Grade Stabilization,Earth,12.755,0.072,4515.0,1994.0,,0.0788,3129.36575,Uncontrolled,,5.0,,Low,Not Rated,,0.078,6.1,17.5,
SOAD08262,Lyndrassia,No,Grade Stabilization,Earth,9.363,0.101,6473.0,1994.0,,0.08077,775.01739,Uncontrolled,,0.0,,Low,Not Rated,,0.1034,6.4,17.6,
SOAD09396,Lyndrassia,Yes,Irrigation,Earth,23.842,0.193,,1950.0,,,,,,,1.69,Low,,,0.088,7.2,498.6,10.3
