ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
SOAD02636,Flumevale,No,Water Supply,Concrete,2.018,0.017,50963.0,1968.0,1968.0,0.70723,260.46976199999995,Controlled,2.0,8.16,Significant,Not Rated,2018.2,0.1547,416.3,441.8,52.6,910.7,121.81343189328909
SOAD02906,Flumevale,Yes,Missing,Earth,0.0,0.082,15650.0,1947.0,2007.0,0.01773,7.457212000000254,Missing,1.0,0.0,High,Not Available,2017.0,0.1355,30.6,651.4,39.68000000000001,721.6800000000001,69.06091229796411
SOAD03835,Flumevale,No,Recreation,Concrete,18.142,0.224,314208.8,1908.0,2010.0,3.194158,411.2119759999996,Uncontrolled,1.0,5.0,High,Not Rated,2021.4,0.0891,486.8,794.9,8.9,1290.6,136.12909413725137
SOAD05705,Flumevale,No,Recreation,Earth,8.746,0.1,15000.0,1950.0,1996.0,0.0279740000000003,564.6174800000001,Uncontrolled,5.0,83.19,Significant,Not Rated,2016.0,0.1355,107.0,74.2,6.1,187.3,23.836808246374133
SOAD07112,Flumevale,No,Irrigation,Earth,7.961,0.262,9180.0,1918.0,1969.0,12.415334,34.622769999999946,Controlled,5.0,20.448,Significant,Not Rated,2018.4,0.1108,219.6,160.6,38.9,419.1,49.51638221293688
SOAD07646,Flumevale,No,Other,Rockfill,4.43,0.023,22320.20000000001,1899.0,1999.0,40.394456,1050.4015760000002,Uncontrolled,2.0,24.76,Significant,Not Rated,2021.2,0.1495,301.1,118.8,35.18,455.08,57.505522357225416
SOAD10398,Flumevale,No,Other,Rockfill,2.932,0.027,22274.20000000001,1899.0,1999.0,40.346782000000005,8242.349891999998,Uncontrolled,2.0,34.268,Significant,Not Rated,2022.4,0.1321,156.2,48.3,42.16,246.66,30.584325185716153
SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,16835.199999999983,1875.0,2002.0,8.512369999999999,53.2657999999999,Uncontrolled,1.0,7.388,High,Not Rated,2022.6,0.1203,851.5,772.2,40.54,1664.24,176.04373786330223
SOAD11108,Flumevale,No,Flood Risk Reduction,Earth,6.122,0.307,163800.0,2005.0,1983.0,0.2127599999999998,234.3695200000002,Missing,5.0,13.72,Significant,Not Available,2015.8,0.1411,256.9,461.9,21.92,740.7199999999999,93.55309578895567
SOAD13361,Flumevale,No,Debris Control,Timber Crib,12.253,0.138,24797.00000000003,1941.0,2012.0,41.384972000000005,8734.525884,Uncontrolled,3.0,59.83,Significant,Not Rated,2022.2,0.1454,461.4,341.7,48.02,851.1199999999999,107.69039285063742
SOAD14563,Flumevale,No,Other,Rockfill,3.858,0.03,22320.20000000001,1899.0,1999.0,40.394456,8242.349891999998,Uncontrolled,2.0,34.268,Significant,Not Rated,2022.6,0.1324,223.3,368.4,44.81999999999999,636.52,79.47381229519844
SOAD18122,Flumevale,No,Other,Earth,13.878,0.073,273800.0,1949.0,1990.0,6.158614,413.8752659999998,Uncontrolled,1.0,0.16,High,Not Rated,2022.2,0.102,925.1,619.9,34.8,1579.8,153.3375104472041
SOAD00531,Flumevale,No,Hydroelectric,Concrete,5.452,2.467,61472.0,1988.0,1988.0,22.469032,545.4417919999999,Missing,1.0,16.83,Significant,Satisfactory,2023.0,0.1362,441.6,446.0,78.2,965.8,118.007898555696
SOAD08570,Flumevale,No,Missing,Concrete,3.451,0.6200000000000001,9339.799999999988,1963.0,1999.0,0.00788,4080.16028,Missing,1.0,8.870000000000001,Significant,Satisfactory,2023.0,0.1192,8.6,196.4,26.7,231.7,26.676306298375128
SOAD09546,Flumevale,No,Hydroelectric,Missing,0.346,0.0733999999999999,0.0,1988.0,1987.0,0.0579180000000003,1159.596466,Missing,1.0,21.832,Significant,Not Available,2018.2,0.1111,112.7,257.4,5.32,375.42,39.591886637359856
SOAD15319,Flumevale,No,Hydroelectric,Rockfill,12.066,0.0734,236046.0,1965.0,2001.0,1.1556020000000002,35962.40487,Uncontrolled,1.0,75.25,Significant,Satisfactory,2023.0,0.1101,171.3,216.0,55.9,443.2,48.50518116950989
SOAD19425,Flumevale,No,Flood Risk Reduction,Earth,27.419,0.347,220000.0,1971.0,1996.0,0.00788,322.25809000000027,Missing,1.0,6.32,High,Satisfactory,2023.0,0.1104,16.4,201.5,43.13999999999999,261.04,23.237868035435678
SOAD03833,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.977,0.115,2773.0,1983.0,1996.0,0.00788,0.0,Uncontrolled,2.0,11.26,Significant,Satisfactory,2020.0,0.1354,39.8,121.9,37.38,199.08,24.97212678551674
SOAD14182,Flumevale,No,Tailings,Earth,8.658,0.267,2220.0,1956.0,1985.0,25.065886000000003,9162.782916000002,Missing,0.0,4.75,High,Not Available,2019.4,0.1235,844.9,374.4,30.08,1249.38,114.95301351830365
SOAD02312,Flumevale,No,Other,Earth,10.679,0.08,0.0,1978.0,1960.0,0.0610699999999999,409.081344,Missing,1.0,1.67,Significant,Not Available,2019.0,0.1661,306.3,365.5,28.28,700.0799999999999,94.77541156053542
SOAD01247,Flumevale,No,Water Supply,Earth,7.299,0.253,0.0,1973.0,1981.0,0.1378999999999997,391.50362999999993,Missing,1.0,1.67,Significant,Not Available,2016.4,0.1451,312.7,887.2,47.5,1247.4,165.84306666254997
SOAD11867,Flumevale,Yes,Water Supply,Earth,4.43,0.083,11130.399999999994,1999.0,2000.0,0.00788,0.0,Uncontrolled,2.0,11.38,Significant,Fair,2013.0,0.1314,18.3,151.7,15.0,185.0,23.017475716769695
SOAD11892,Flumevale,No,Water Supply,Missing,5.94,0.032,4280.0,1956.0,1990.0,4.0755360000000005,50523.676616,Missing,3.0,1.63,High,Not Available,2018.4,0.0765,719.6,565.6,15.9,1301.1,128.3683868072927
SOAD15152,Flumevale,Yes,Flood Risk Reduction,Earth,11.071,0.095,21140.0,2005.0,2006.0,0.00788,0.0,Uncontrolled,1.0,5.294000000000002,High,Fair,2020.0,0.1114,43.7,816.2,18.48,878.3800000000001,80.68350062444807
SOAD02714,Flumevale,No,Water Supply,Earth,13.753,0.033,88944.00000000001,1942.0,1994.0,8.409930000000001,7699.038732,Missing,0.0,7.67,High,Not Available,2019.2,0.1083,672.7,452.4,51.7,1176.8,103.72138487696647
SOAD05372,Flumevale,Yes,Irrigation,Earth,5.634,0.08,3550.0,1960.0,1997.0,0.00788,7.98987,Uncontrolled,2.0,16.56,Significant,Fair,2021.0,0.1503,8.1,260.9,24.6,293.6,36.58057177066803
SOAD11286,Flumevale,Yes,Recreation,Earth,3.498,0.133,11520.799999999988,1966.0,1999.0,0.00788,7.98987,Uncontrolled,2.0,1.59,Significant,Fair,2022.0,0.1333,11.7,704.8,4.9,721.4,83.91006543934346
SOAD03788,Flumevale,Yes,Recreation,Earth,2.778,0.1,698.0,1933.0,1995.0,0.01773,7.98987,Uncontrolled,2.0,0.0,Significant,Satisfactory,2022.0,0.1303,43.8,343.5,5.8,393.1,48.2442967787385
SOAD08746,Flumevale,Yes,Flood Risk Reduction,Earth,13.48,0.12,8900.0,2005.0,2006.0,0.00788,0.0,Uncontrolled,1.0,0.0,High,Fair,2020.0,0.0965,8.6,531.1,14.46,554.1600000000001,50.40902555823327
SOAD10234,Flumevale,Yes,Water Supply,Earth,7.349,0.06,36084.79999999999,2007.0,2016.0,0.00788,0.0,Uncontrolled,2.0,3.35,Significant,Satisfactory,2021.0,0.1222,33.1,879.3,54.1,966.5,115.78472826629877
