ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
SOAD00072,Navaldia,Yes,Recreation,Earth,0.0,0.1109999999999999,29663.800000000017,1944.0,2012.0,0.02364,2.66329,Missing,2.0,13.44,Significant,Satisfactory,2018.0,0.1258,20.8,296.9,8.1,325.8,13.519847468286754
SOAD00380,Navaldia,No,Missing,Earth,2.713,1.4168,3000.0,1927.0,2008.0,52.612002,7764.023008,Missing,5.0,3.594000000000001,High,Not Available,2022.0,0.0757,930.5,727.5,28.24,1686.24,89.231327278018
SOAD00610,Navaldia,Yes,Recreation,Earth,0.0,0.1518,254307.0,1956.0,2010.0,0.3979399999999997,9.58784400000036,Missing,2.0,35.636,Significant,Satisfactory,2019.6,0.1375,355.5,427.3,8.6,791.4,47.43933673650026
SOAD00862,Navaldia,Yes,Missing,Missing,0.0,0.2868,0.0,1943.0,2007.0,0.2470379999999998,15.979739999999993,Missing,2.0,20.152,Significant,Not Rated,2019.2,0.1403,295.1,25.3,17.4,337.8,23.39720626473427
SOAD04339,Navaldia,Yes,Recreation,Earth,8.084,0.14,39600.0,1928.0,2006.0,0.900684,2.66329,Missing,2.0,38.632,Significant,Fair,2019.6,0.1198,463.4,228.2,5.1,696.6999999999999,36.99958522841334
SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,0.0,0.1202,186684.0,1987.0,2005.0,1.326992,4.793922000000066,Missing,1.0,6.286,High,Not Rated,2021.2,0.1131,874.0,743.5,8.44,1625.94,135.38268120333552
SOAD05158,Navaldia,Yes,Recreation,Earth,4.848,0.1594,8322.200000000012,1938.0,2011.0,0.00788,2.66329,Missing,2.0,44.536,Significant,Fair,2017.8,0.1556,13.9,25.1,2.9,41.9,2.291921501979232
SOAD05688,Navaldia,Yes,Irrigation,Earth,0.0,0.104,75342.32600000003,1993.0,2011.0,0.0106379999999997,2.66329,Missing,2.0,5.500000000000002,Significant,Satisfactory,2014.2,0.1126,106.2,189.6,47.1,342.90000000000003,14.42691480740905
SOAD06129,Navaldia,No,Flood Risk Reduction,Rockfill,10.0,3.913,1236201.6,1979.0,1993.0,3.999494,947.065924,Uncontrolled,5.0,8.464,High,Not Available,2018.6,0.0598,622.1,806.0,60.74,1488.84,76.64757819995283
SOAD11005,Navaldia,No,Flood Risk Reduction,Earth,16.88,2.235,2300000.0,1966.0,2009.0,0.0,0.0,Missing,5.0,9.016,High,Not Available,2018.0,0.0615,13.3,621.3,36.96,671.56,35.17638238564133
