,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
1,SOAD00380,Navaldia,No,,Earth,2.713,,,1927.0,,,,,07/11/2018,5.0,,High,Not Available,,0.0757,930.5,727.5,
3,SOAD00862,Navaldia,Yes,,,0.0,,,,,,,,,2.0,,Significant,Not Rated,,0.1403,295.1,25.3,
8,SOAD02906,Flumevale,Yes,,Earth,0.0,0.082,15650.0,1947.0,,0.01773,,,05/08/2020,1.0,0.0,High,Not Available,,0.1355,30.6,651.4,
12,SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,0.0,,,,,,,,26/02/2021,1.0,,High,Not Rated,,0.1131,874.0,743.5,
16,SOAD06129,Navaldia,No,Flood Risk Reduction,Rockfill,10.0,3.913,,1979.0,,,,Uncontrolled,15/07/2021,5.0,,High,Not Available,,0.0598,622.1,806.0,
19,SOAD07546,Lyndrassia,Yes,,,16.22,0.283,,,,,,,,3.0,,High,,,0.0736,615.9,700.1,
20,SOAD07646,Flumevale,No,Other,Rockfill,4.43,0.023,,1899.0,,,,Uncontrolled,13/08/2020,,,Significant,Not Rated,,0.1495,301.1,118.8,
21,SOAD07707,Lyndrassia,Yes,Tailings,,0.0,,0.0,,,2.16503,,,,,,High,Satisfactory,29/06/2018,0.1036,120.3,918.2,
22,SOAD10398,Flumevale,No,Other,Rockfill,2.932,0.027,,1899.0,,,,Uncontrolled,25/07/2012,,,Significant,Not Rated,,0.1321,156.2,48.3,
23,SOAD10407,Lyndrassia,Yes,,,16.57,,,1990.0,,,,Uncontrolled,08/01/2020,,8.69,High,Satisfactory,13/07/2020,0.0927,651.7,425.6,
24,SOAD10567,Lyndrassia,Yes,,Earth,35.081,,0.0,,,,,,30/08/2011,0.0,2.35,Significant,Satisfactory,20/07/2011,0.114,230.5,534.4,
25,SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,,1875.0,,,,Uncontrolled,26/02/2020,1.0,,High,Not Rated,,0.1203,851.5,772.2,
26,SOAD11005,Navaldia,No,Flood Risk Reduction,Earth,16.88,2.235,2300000.0,1966.0,,0.0,0.0,,08/06/2022,5.0,,High,Not Available,,0.0615,13.3,621.3,
27,SOAD11108,Flumevale,No,Flood Risk Reduction,Earth,6.122,0.307,,2005.0,,,,,11/09/2018,5.0,,Significant,Not Available,,0.1411,256.9,461.9,
29,SOAD11500,Lyndrassia,Yes,,Earth,15.276,,,,,0.14381,,,,,6.58,High,Unsatisfactory,,0.1316,6.8,320.1,
33,SOAD12910,Navaldia,Yes,,,0.0,,,,,,,,,2.0,,Significant,Unsatisfactory,,0.1771,453.8,472.6,
34,SOAD13361,Flumevale,No,Debris Control,Timber Crib,12.253,0.138,,1941.0,2012H,,,Uncontrolled,28/09/2015,,,Significant,Not Rated,,0.1454,461.4,341.7,
37,SOAD14215,Navaldia,Yes,,,0.0,,,,,,5.32658,,,2.0,,Significant,Not Rated,,0.1373,68.1,175.4,
38,SOAD14437,Navaldia,Yes,,Earth,9.103,0.067,,1964.0,,,5.32658,,19/12/2018,2.0,,Significant,Fair,,0.1439,333.9,179.7,
39,SOAD14563,Flumevale,No,Other,Rockfill,3.858,0.03,,1899.0,,,,Uncontrolled,25/07/2012,,,Significant,Not Rated,,0.1324,223.3,368.4,
42,SOAD15410,Navaldia,Yes,Other,Earth,0.0,,,,,,10.65316,,16/03/2021,2.0,,Significant,Poor,,0.1527,39.4,421.5,
47,SOAD17206,Lyndrassia,Yes,Other,Earth,12.642,0.133,,2002.0,,0.08077,,Uncontrolled,07/09/2021,3.0,,High,Not Rated,,0.0951,27.1,863.9,
50,SOAD17642,Lyndrassia,Yes,,,14.396,,,2018.0,,,,,29/08/2022,3.0,9.43,High,Not Rated,11/07/2019,0.0792,939.5,181.0,
51,SOAD18020,Lyndrassia,Yes,,Earth,28.472,,0.0,,,,,,30/08/2011,0.0,2.43,Significant,Satisfactory,20/07/2011,0.1325,375.1,318.3,
52,SOAD18122,Flumevale,No,Other,Earth,13.878,0.073,,1949.0,,,,Uncontrolled,26/02/2020,1.0,0.16,High,Not Rated,,0.102,925.1,619.9,
56,SOAD08570,Flumevale,No,,Concrete,3.451,,,,,0.00788,,,29/08/2023,1.0,,Significant,Satisfactory,29/09/2023,0.1192,8.6,196.4,
57,SOAD09546,Flumevale,No,Hydroelectric,,0.346,,,1988.0,,,,,30/09/2020,1.0,,Significant,Not Available,,0.1111,112.7,257.4,
60,SOAD16049,Navaldia,Yes,Debris Control,Gravity,4.704,0.027,,1966.0,,,2.66329,,26/08/2020,1.0,,High,Fair,,0.1113,662.4,805.4,
61,SOAD19425,Flumevale,No,Flood Risk Reduction,Earth,27.419,0.347,220000.0,1971.0,,0.00788,,,06/07/2023,1.0,6.32,High,Satisfactory,29/09/2023,0.1104,16.4,201.5,
63,SOAD04177,Navaldia,Yes,Flood Risk Reduction,Earth,7.397,0.025,,1999.0,2005H,,2.66329,,29/11/2018,2.0,,Significant,Satisfactory,,0.121,185.5,218.2,
64,SOAD08152,Navaldia,Yes,,,3.452,0.047,,,,,,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0753,611.0,934.6,
66,SOAD12764,Lyndrassia,Yes,Flood Risk Reduction,Earth,13.925,0.1,30000.0,1989.0,1989,0.00788,0.0,Uncontrolled,14/05/2020,2.0,7.74,High,Satisfactory,19/12/2007,0.0905,10.8,129.6,
67,SOAD17150,Navaldia,Yes,Flood Risk Reduction,Earth,6.819,0.067,,1948.0,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0985,39.2,851.5,
68,SOAD17354,Navaldia,Yes,,Earth,10.606,0.053,,2008.0,,0.02364,0.0,Uncontrolled,15/06/2022,5.0,1.67,Significant,Fair,25/08/2022,0.1097,8.0,865.3,
69,SOAD02782,Navaldia,Yes,Flood Risk Reduction,Earth,4.227,0.083,,1991.0,,0.00591,2.66329,,25/04/2019,2.0,,Significant,Fair,,0.1357,47.1,418.9,
70,SOAD14624,Navaldia,Yes,Flood Risk Reduction,Earth,3.41,0.063,,1985.0,,,2.66329,,14/04/2020,2.0,,Significant,Fair,,0.1433,373.8,255.4,
71,SOAD15975,Navaldia,No,,Earth,5.836,0.027,,,,0.00394,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.1649,13.3,322.8,
73,SOAD03833,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.977,0.115,2773.0,1983.0,1996,0.00788,0.0,Uncontrolled,18/06/2020,2.0,11.26,Significant,Satisfactory,18/06/2020,0.1354,39.8,121.9,
74,SOAD09276,Lyndrassia,Yes,Other,Earth,22.852,0.1,43000.0,1993.0,1997,0.00788,0.0,Uncontrolled,19/01/2023,2.0,,Significant,Satisfactory,21/12/2007,0.114,35.1,293.8,
75,SOAD13160,Navaldia,Yes,,Earth,2.784,0.133,,,,0.01379,0.0,Uncontrolled,07/12/2021,2.0,1.61,High,Poor,17/03/2022,0.1141,36.1,107.1,
76,SOAD14182,Flumevale,No,Tailings,Earth,8.658,0.267,,,,,,,,,4.75,High,Not Available,,0.1235,844.9,374.4,
77,SOAD14607,Navaldia,No,,Earth,5.355,0.123,,1965.0,,0.00788,0.0,Uncontrolled,17/10/2007,,,Significant,Not Rated,18/06/2014,0.1451,7.9,446.3,
78,SOAD15607,Navaldia,Yes,Flood Risk Reduction,Earth,6.12,0.04,,1992.0,,,2.66329,,19/07/2019,2.0,,Significant,Satisfactory,,0.1106,186.3,161.6,
79,SOAD18799,Navaldia,Yes,Flood Risk Reduction,Earth,3.336,0.123,,,,,2.66329,,04/12/2020,1.0,,High,Satisfactory,,0.1017,532.3,925.3,
80,SOAD01460,Navaldia,Yes,,Earth,9.399,0.133,,1948.0,,0.0,2.66329,Uncontrolled,12/02/2020,2.0,,High,Poor,31/03/2021,0.13,41.8,596.3,
81,SOAD02312,Flumevale,No,Other,Earth,10.679,0.08,,,,,,,,,1.67,Significant,Not Available,,0.1661,306.3,365.5,
82,SOAD07202,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.746,0.11,,1990.0,1991S,0.00788,0.0,Uncontrolled,08/07/2009,5.0,,Significant,Not Rated,08/07/2014,0.0923,19.0,308.6,
83,SOAD10724,Navaldia,Yes,,,4.217,0.143,,2021.0,,0.00788,,Uncontrolled,21/04/2021,5.0,,Significant,Fair,23/08/2021,0.1184,7.5,369.0,
84,SOAD14722,Navaldia,Yes,Flood Risk Reduction,Earth,3.556,0.053,,1998.0,,,7.98987,,29/12/2020,1.0,,High,Satisfactory,,0.1039,625.3,716.1,
85,SOAD20423,Navaldia,Yes,Flood Risk Reduction,Earth,3.25,0.117,,1994.0,,,2.66329,,28/01/2021,1.0,,High,Fair,,0.096,632.1,897.7,
88,SOAD04234,Navaldia,Yes,Flood Risk Reduction,Earth,4.295,0.1,,1948.0,,0.0,0.0,Uncontrolled,12/02/2020,5.0,0.0,High,Fair,31/03/2021,0.0574,42.9,263.9,
90,SOAD07932,Lyndrassia,Yes,Other,Earth,14.982,0.07,0.0,1988.0,1988,0.00394,0.0,Uncontrolled,04/04/2023,2.0,9.2,High,Satisfactory,04/09/2008,0.1094,9.9,248.4,
