,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
642,SOAD20302,Flumevale,No,Fish and Wildlife Pond,Earth,3.053,0.413,2548.999999999971,1965.0,1967.0,0.0756479999999997,5.32658,Controlled,10.0,22.402,Low,Not Rated,2020.4,0.0027,20.4,17.0,22.78,60.18,0.162486
1517,SOAD02615,Flumevale,No,Other,Earth,5.265,0.033,9151.800000000016,1952.0,2001.0,0.1091379999999997,6.391896000000543,Uncontrolled,10.0,17.858,Low,Not Rated,2017.0,0.0199,10.0,21.7,5.600000000000001,37.3,0.74227
1003,SOAD02733,Flumevale,No,Fish and Wildlife Pond,Earth,4.787,0.15,5475.000000000029,1907.0,1985.0,0.0271859999999994,13.849108000000117,Uncontrolled,10.0,20.198,Low,Not Rated,2018.2,0.0143,17.1,16.2,19.64,52.94,0.757042
2538,SOAD05743,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.358,0.142,4628.0,1931.0,1958.0,0.129626,77.23541,Controlled,10.0,38.624,Low,Not Rated,2018.2,0.0168,11.3,14.3,22.78,48.38,0.8127839999999998
757,SOAD18809,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.411,0.177,17150.800000000017,1970.0,1998.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,30.284,Low,Not Rated,2018.2,0.0291,8.0,15.1,5.18,28.28,0.822948
500,SOAD09694,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.816,0.21,4107.0,1955.0,2005.0,0.0366419999999996,25.56758400000058,Uncontrolled,10.0,18.866,Low,Not Rated,2018.2,0.0323,7.9,16.1,10.54,34.54,1.115642
1412,SOAD01884,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.761,0.44,17150.800000000017,1974.0,1991.0,0.0330959999999995,55.92909,Uncontrolled,10.0,30.284,Low,Not Rated,2017.0,0.0403,12.5,11.1,5.180000000000003,28.780000000000005,1.1598340000000005
2227,SOAD04198,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.119,0.763,17150.800000000017,1974.0,1998.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,30.284,Low,Not Rated,2017.0,0.0339,19.3,11.6,5.180000000000003,36.08,1.223112
2592,SOAD16501,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.693,0.3,17150.800000000017,1977.0,1991.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,24.852,Low,Not Rated,2017.6,0.0417,11.3,17.3,5.180000000000003,33.78,1.4086260000000002
1326,SOAD00519,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.669,0.495,15080.799999999988,1951.0,2005.0,0.0366419999999996,39.94935000000032,Uncontrolled,10.0,18.866,Low,Not Rated,2017.4,0.0471,5.6,8.1,17.82,31.52,1.484592
819,SOAD09866,Flumevale,Yes,Irrigation,Earth,7.01,0.373,12439.99999999997,2008.0,2002.0,0.08274,7.98987,Uncontrolled,6.0,19.654,Low,Not Rated,2017.6,0.0243,25.5,17.9,19.7,63.1,1.53333
1477,SOAD05385,Flumevale,Yes,Water Supply,Earth,7.495,0.156,10670.0,1978.0,2005.0,0.21079,16.51239799999985,Missing,0.5,11.338,Low,Satisfactory,2017.0,0.0683,8.3,9.1,8.2,25.6,1.7484799999999998
2437,SOAD02735,Flumevale,Yes,Water Supply,Rockfill,54.291,0.123,253000.0,1994.0,2002.0,0.12411,0.0,Missing,0.5,13.456,Low,Satisfactory,2017.0,0.0639,5.7,5.0,17.5,28.2,1.80198
637,SOAD03225,Flumevale,Yes,Other,Earth,8.222,0.533,32196.599999999977,2008.0,1995.0,0.04334,0.0,Uncontrolled,6.0,22.608,Low,Satisfactory,2019.0,0.0414,6.9,9.7,27.24,43.84,1.814976
746,SOAD13695,Flumevale,Yes,Water Supply,Earth,6.795,0.057,1550.0,1966.0,2005.0,0.10244,34.62277,Missing,0.5,16.274,Low,Satisfactory,2018.0,0.0695,5.2,6.3,14.8,26.3,1.82785
569,SOAD04945,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.244,0.25,7626.0,1954.0,2005.0,0.0366419999999996,39.94935000000032,Uncontrolled,10.0,26.216,Low,Not Rated,2017.4,0.0539,7.7,8.5,17.82,34.02,1.833678
1233,SOAD11627,Flumevale,Yes,Water Supply,Gravity,24.58,0.029,2335.0,1895.0,2003.0,0.02561,42.61264,Missing,0.5,1.934000000000001,Low,Satisfactory,2017.0,0.0654,8.3,7.0,12.9,28.200000000000003,1.84428
2200,SOAD06408,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.831,0.023,400.0,1960.0,1967.0,0.1087440000000001,276.98216,Controlled,10.0,25.53,Low,Not Rated,2015.4,0.0287,22.6,21.7,22.78,67.08,1.925196
1177,SOAD08729,Flumevale,Yes,Water Supply,Earth,8.644,0.087,38000.0,1951.0,2005.0,0.10244,74.57212,Missing,0.5,16.168,Low,Satisfactory,2017.0,0.0655,6.4,8.7,15.2,30.3,1.98465
1974,SOAD15358,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.261,0.333,15405.00000000003,1975.0,1995.0,0.0228519999999994,29.29619,Uncontrolled,10.0,23.504,Low,Not Rated,2017.6,0.055,7.3,18.2,12.36,37.86,2.0823
1488,SOAD04999,Flumevale,Yes,Water Supply,Earth,14.775,0.436,48100.0,1993.0,2009.0,0.14578,0.0,Missing,0.5,16.274,Low,Satisfactory,2017.0,0.0729,9.1,6.5,13.8,29.4,2.14326
1769,SOAD03777,Flumevale,Yes,Water Supply,Earth,9.738,0.06,0.0,1914.0,2005.0,0.17336,13.31645,Missing,0.5,13.509999999999998,Low,Satisfactory,2017.0,0.0592,10.5,7.5,18.6,36.6,2.16672
1308,SOAD18730,Flumevale,Yes,Water Supply,Earth,12.746,0.313,54200.0,1982.0,2006.0,0.08077,2.663290000000188,Missing,0.5,16.274,Low,Satisfactory,2017.0,0.0605,8.2,12.7,16.3,37.2,2.2506
198,SOAD17910,Flumevale,Yes,Water Supply,Earth,19.859,0.04,0.0,1973.0,1997.0,0.0985,19.17568799999981,Missing,0.5,12.398,Low,Fair,2017.0,0.074,8.2,10.6,12.2,31.0,2.294
2410,SOAD17671,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.86,0.142,2549.000000000029,1955.0,1973.0,0.0996819999999996,23.96961,Controlled,10.0,47.924,Low,Not Rated,2015.0,0.0423,9.6,22.5,22.78,54.88,2.3214239999999995
2219,SOAD02358,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.532,0.183,2825.000000000029,1931.0,2005.0,0.0366419999999996,37.81871800000022,Uncontrolled,10.0,18.866,Low,Not Rated,2016.6,0.0419,21.8,14.4,19.34,55.540000000000006,2.327126
537,SOAD17186,Flumevale,Yes,Water Supply,Earth,11.88,0.147,27961.0,1949.0,2005.0,0.06501,2.66329,Missing,0.5,16.168,Low,Satisfactory,2017.0,0.0616,15.4,12.8,10.0,38.2,2.35312
2084,SOAD13465,Flumevale,Yes,Irrigation,Earth,15.939,0.317,59393.0,1914.0,1967.0,0.0591,0.0,Missing,6.0,40.72,Low,Satisfactory,2021.0,0.0323,5.0,67.5,1.0,73.5,2.37405
2495,SOAD19669,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.53,0.258,4826.0,1920.0,1967.0,0.09653,1243.75643,Controlled,10.0,53.608,Low,Not Rated,2018.2,0.0477,20.0,11.4,22.78,54.17999999999999,2.5843859999999994
733,SOAD08648,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.383,0.16,4299.799999999988,1890.0,1992.0,0.0271859999999994,28.230874000000316,Uncontrolled,10.0,16.65,Low,Not Rated,2018.8,0.0554,12.7,15.4,19.48,47.58,2.635932
2163,SOAD09588,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.504,0.412,2549.000000000029,1980.0,1989.0,0.2186699999999999,34.62277,Controlled,10.0,33.962,Low,Not Rated,2015.6,0.0461,11.0,23.5,22.78,57.28,2.6406080000000003
914,SOAD13999,Flumevale,Yes,Missing,Missing,4.79,0.2423999999999999,26559.99999999997,1987.0,1978.0,0.1568119999999999,4262.861974,Missing,6.0,13.37,Low,Not Rated,2015.4,0.0444,12.6,20.7,26.9,60.2,2.67288
1923,SOAD06341,Flumevale,Yes,Hydroelectric,Earth,6.293,0.117,37759.4,1956.0,1997.0,0.15957,21.30632000000037,Missing,3.0,29.946,Low,Satisfactory,2023.0,0.0575,7.9,5.0,33.72,46.62,2.68065
1361,SOAD04905,Flumevale,Yes,Water Supply,Earth,6.484,0.443,0.0,1905.0,2003.0,0.1812399999999999,2.66329,Missing,0.5,4.626,Low,Satisfactory,2017.0,0.0762,8.5,13.9,12.9,35.3,2.68986
1818,SOAD07019,Flumevale,Yes,Irrigation,Earth,7.108,0.2,29245.0,1951.0,2002.0,0.12805,0.0,Missing,6.0,33.55,Low,Not Rated,2017.4,0.0369,11.7,59.3,2.4,73.4,2.7084600000000005
729,SOAD05899,Flumevale,Yes,Water Supply,Earth,8.408,0.183,17280.0,1947.0,2005.0,0.14381,18.110372000000098,Missing,0.5,16.354,Low,Satisfactory,2017.0,0.0803,6.4,15.6,12.0,34.0,2.7302
1343,SOAD14632,Flumevale,Yes,Other,Earth,21.606,0.122,42000.0,1971.0,2012.0,0.11229,53.2658,Missing,0.5,10.6,Low,Satisfactory,2017.0,0.0568,19.1,11.0,18.34,48.44,2.751392
241,SOAD07219,Flumevale,Yes,Water Supply,Arch,9.394,0.082,1600.0,1927.0,2002.0,0.08274,13.31645,Missing,0.5,7.746,Low,Satisfactory,2017.0,0.0786,10.0,19.5,6.7,36.2,2.8453200000000005
249,SOAD01341,Flumevale,Yes,Missing,Earth,5.576,0.208,13447.200000000012,1920.0,1995.0,0.1690260000000001,1.5979740000002494,Missing,6.0,31.364000000000004,Low,Fair,2018.0,0.049,14.5,14.3,29.66,58.46,2.86454
2815,SOAD12845,Flumevale,No,Irrigation,Earth,4.608,0.4,2549.000000000029,1977.0,1996.0,0.1327779999999996,15.97974,Controlled,10.0,45.326,Low,Not Rated,2014.6,0.06,21.7,23.3,2.8,47.8,2.868
357,SOAD02937,Flumevale,Yes,Missing,Earth,4.28,0.867,8750.199999999983,1983.0,2008.0,0.08077,0.0,Uncontrolled,6.0,34.516000000000005,Low,Fair,2020.0,0.0558,5.5,23.4,23.22,52.12,2.908296
43,SOAD02117,Flumevale,Yes,Recreation,Earth,11.511,0.14,17505.399999999994,1971.0,2003.0,0.01576,0.0,Uncontrolled,6.0,33.304,Low,Fair,2018.0,0.0524,28.1,23.7,3.9,55.7,2.91868
1211,SOAD17715,Flumevale,Yes,Water Supply,Earth,21.433,0.183,125000.0,1997.0,2009.0,0.07289,2.66329,Missing,0.5,16.274,Low,Satisfactory,2017.0,0.0617,11.6,23.3,12.5,47.4,2.92458
1541,SOAD15805,Flumevale,Yes,Fish and Wildlife Pond,Earth,5.112,0.545,26400.0,1908.0,1971.0,0.20094,2.66329,Missing,5.0,28.28,Low,Satisfactory,2018.0,0.0482,8.3,16.9,36.02,61.22,2.950804
330,SOAD17818,Flumevale,Yes,Missing,Earth,5.695,0.067,18659.99999999997,1946.0,2007.0,0.04925,31.426821999999675,Uncontrolled,6.0,43.022,Low,Fair,2018.0,0.0705,9.9,13.0,19.0,41.9,2.9539499999999994
1060,SOAD15734,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.199,0.15,15405.00000000003,1970.0,1995.0,0.0330959999999995,23.96961,Uncontrolled,10.0,23.504,Low,Not Rated,2017.6,0.0563,22.8,19.0,12.36,54.16,3.049208
