,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
8363,SOAD14988,Lyndrassia,No,Irrigation,Earth,5.094,0.127,0.0,1922.0,1993.0,38.44652,263.66571,Missing,1.0,3.2,High,Not Available,2021.8,0.1355,902.1,813.8,45.2,1761.1,238.62905000000003
6098,SOAD10978,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,14.119,0.233,16400.0,1938.0,1998.0,0.2356120000000001,6046.200958,Missing,2.0,0.0,Significant,Missing,2021.2,0.1841,239.2,945.5,31.0,1215.7,223.81037000000003
7515,SOAD12091,Lyndrassia,No,Flood Risk Reduction,Earth,9.144,0.2702,0.0,1969.0,2003.0,0.27186,1488.77911,Missing,0.0,1.58,High,Not Rated,2015.0,0.142,681.9,879.3,7.9,1569.1,222.8122
8226,SOAD13011,Lyndrassia,Yes,Irrigation,Earth,15.122,0.433,113942.0,1986.0,2000.0,3.37067,3773.881930000001,Uncontrolled,3.0,13.07,Significant,Missing,2018.2,0.1735,807.7,376.5,28.8,1213.0,210.4555
8390,SOAD03475,Lyndrassia,No,Flood Risk Reduction,Earth,38.458,0.272,2710000.0,1941.0,2000.0,186.80525,9483.97569,Missing,5.0,1.54,Significant,Not Available,2017.6,0.1256,841.3,786.1,30.72,1658.12,208.259872
7311,SOAD13882,Lyndrassia,No,Recreation,Earth,8.068,0.2377999999999999,0.0,1965.0,2005.0,0.24428,2793.79121,Missing,0.0,3.09,High,Not Rated,2015.6,0.1446,531.6,844.1,3.4,1379.1,199.41786
8186,SOAD16911,Lyndrassia,No,Tailings,Rockfill,37.996,1.0122,0.0,1975.0,1993.0,0.64813,3779.20851,Missing,0.0,3.12,High,Not Rated,2008.8,0.1418,536.9,862.2,6.24,1405.34,199.277212
8269,SOAD16700,Lyndrassia,No,Other,Earth,3.418,0.2798,0.0,1953.0,1984.0,15.08035,14120.76358,Missing,0.0,1.63,High,Not Rated,2014.0,0.1202,928.4,661.6,6.240000000000002,1596.24,191.868048
7622,SOAD10048,Lyndrassia,Yes,Recreation,Earth,13.178,0.371,98000.0,1989.0,1996.0,0.57721,15.97974,Uncontrolled,3.0,0.0,Significant,Satisfactory,2007.0,0.1274,654.0,798.2,8.9,1461.1,186.14414000000005
8071,SOAD06115,Lyndrassia,No,Recreation,Arch,8.009,0.744,0.0,1954.0,1994.0,1.28641,271951.20519,Missing,0.0,1.64,High,Not Rated,2019.2,0.1214,550.9,923.6,4.5,1479.0,179.5506
