,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
8412,SOAD09833,Navaldia,Yes,Water Supply,Earth,13.615,2.267,190848.0,1939.0,1995.0,6.02229,245.02268,Uncontrolled,2.0,3.634,High,Unsatisfactory,2022.0,0.1481,888.6,909.7,56.5,1854.8,274.69588000000005
8607,SOAD07444,Navaldia,Yes,Recreation,Earth,15.583,1.033,187428.0,1950.0,1995.0,5.78983,237.03281,Uncontrolled,2.0,4.585999999999999,High,Unsatisfactory,2022.0,0.1547,912.4,718.9,9.1,1640.4,253.76988
8126,SOAD16062,Navaldia,Yes,Flood Risk Reduction,Earth,11.673,0.784,111340.0,1961.0,1999.0,0.40385,53.2658,Uncontrolled,2.0,3.706,High,Unsatisfactory,2022.0,0.1475,659.7,938.7,22.92,1621.3200000000002,239.1447
425,SOAD00629,Navaldia,Yes,Flood Risk Reduction,Earth,5.084,0.163,149528.0,1972.0,2004.0,1.425098,7.98987,Missing,1.0,5.264000000000003,High,Not Rated,2022.4,0.1468,814.9,794.0,8.180000000000001,1617.0800000000002,237.38734400000004
6347,SOAD08726,Navaldia,Yes,Missing,Earth,6.374,1.98,195764.0,1952.0,1991.0,0.40582,370.19731,Uncontrolled,3.0,2.7020000000000017,High,Not Rated,2019.0,0.1459,650.9,931.2,11.26,1593.36,232.471224
8228,SOAD11508,Navaldia,Yes,Flood Risk Reduction,Earth,15.948,1.8,383720.0,1964.0,1976.0,2.88999,85.22528,Uncontrolled,4.0,4.79,High,Not Rated,2023.0,0.1397,852.1,747.7,24.8,1624.6,226.95662
243,SOAD00268,Navaldia,Yes,Flood Risk Reduction,Earth,8.042,0.2,189802.0,1995.0,2007.0,3.025526,2.66329,Missing,1.0,2.219999999999999,High,Poor,2022.2,0.1227,890.1,948.9,6.259999999999998,1845.26,226.413402
8796,SOAD00277,Navaldia,Yes,Recreation,Earth,55.893,1.563,2953032.2,1977.0,1998.0,25.91535,442.10614,Uncontrolled,5.0,5.014000000000001,High,Not Rated,2020.0,0.1276,936.8,830.0,6.3,1773.1,226.24756
8436,SOAD17766,Navaldia,Yes,Water Supply,Earth,13.004,1.267,533300.0,1949.0,1990.0,3.91242,165.12398,Uncontrolled,2.0,3.634,High,Unsatisfactory,2022.0,0.1396,803.7,753.9,62.5,1620.1,226.16596
246,SOAD06187,Navaldia,Yes,Recreation,Earth,4.388,0.083,131552.0,1920.0,2008.0,0.753328,2.66329,Missing,1.0,2.742000000000001,High,Unsatisfactory,2022.0,0.1492,700.5,809.9,3.7,1514.1,225.90372
6588,SOAD15517,Navaldia,Yes,Recreation,Earth,12.89,0.371,177600.0,1970.0,1997.0,0.28368,5.32658,Uncontrolled,2.0,3.9380000000000006,High,Unsatisfactory,2022.0,0.148,612.0,894.5,7.0,1513.5,223.998
8780,SOAD04093,Navaldia,No,Hydroelectric,Gravity,25.943,1.623,61800.0,1930.0,1980.0,60.97347,181175.62883,Controlled,1.0,3.3,Significant,Satisfactory,2023.0,0.1314,669.6,936.1,94.2,1699.9,223.36686
7867,SOAD18369,Navaldia,Yes,Water Supply,Earth,24.593,0.483,681524.0000000001,1975.0,2010.0,0.64616,10.65316,Missing,1.0,2.725999999999999,High,Poor,2020.8,0.143,592.5,873.9,70.6,1537.0,219.791
8860,SOAD15141,Navaldia,Yes,Water Supply,Earth,32.267,10.3,8687908.0,1987.0,2000.0,355.05507,13867.75103,Controlled,5.0,11.21,High,Not Rated,2023.0,0.1273,878.9,792.4,53.9,1725.2,219.61796
8790,SOAD11001,Navaldia,No,Flood Risk Reduction,Earth,35.897,2.278,3042100.0,1969.0,1995.0,15.06656,2351.68507,Uncontrolled,5.0,3.2860000000000014,High,Not Available,2023.0,0.1189,887.6,920.1,31.72,1839.42,218.707038
8600,SOAD14992,Navaldia,Yes,Water Supply,Earth,33.893,0.333,1331880.0000000002,1956.0,2009.0,3.33521,106.5316,Missing,1.0,3.856,High,Fair,2020.0,0.1291,886.3,761.1,35.4,1682.8000000000002,217.24948
5742,SOAD08452,Navaldia,Yes,Recreation,Earth,5.841,0.437,48882.0,1910.0,1983.0,0.4708299999999999,10.65316,Uncontrolled,2.0,3.38,Significant,Unsatisfactory,2022.0,0.1693,435.7,842.5,4.2,1282.4,217.11032000000003
8125,SOAD00675,Navaldia,Yes,Flood Risk Reduction,Earth,11.917,0.783,110000.0,1954.0,1981.0,0.37233,50.60251,Uncontrolled,2.0,6.174000000000001,High,Not Rated,2023.0,0.133,714.6,868.6,23.78,1606.98,213.72834
110,SOAD02990,Navaldia,Yes,Flood Risk Reduction,Earth,7.524,0.047,134679.6,1989.0,2010.0,3.976248,2.66329,Missing,1.0,1.768000000000001,High,Fair,2021.2,0.1191,918.0,861.2,6.360000000000001,1785.56,212.660196
5301,SOAD15983,Navaldia,Yes,Irrigation,Earth,13.368,0.242,175644.6,1923.0,1983.0,0.26398,2.66329,Uncontrolled,2.0,1.67,High,Unsatisfactory,2022.0,0.1478,638.9,754.4,44.6,1437.9,212.52162
6170,SOAD11037,Navaldia,Yes,Recreation,Earth,10.937,0.177,85328.0,1956.0,1994.0,0.31914,7.98987,Uncontrolled,2.0,5.359999999999998,High,Unsatisfactory,2022.0,0.1488,713.6,708.4,5.6,1427.6,212.42688
