,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
757,SOAD18809,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.411,0.177,17150.800000000017,1970.0,1998.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,30.284,Low,Not Rated,2018.2,0.07408052,8.0,15.1,5.18,28.28,2.0949970880150794
1412,SOAD01884,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.761,0.44,17150.800000000017,1974.0,1991.0,0.0330959999999995,55.92909,Uncontrolled,10.0,30.284,Low,Not Rated,2017.0,0.07694789,12.5,11.1,5.180000000000003,28.780000000000005,2.21456028059125
1326,SOAD00519,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.669,0.495,15080.799999999988,1951.0,2005.0,0.0366419999999996,39.94935000000032,Uncontrolled,10.0,18.866,Low,Not Rated,2017.4,0.07796724,5.6,8.1,17.82,31.52,2.457527449131012
500,SOAD09694,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.816,0.21,4107.0,1955.0,2005.0,0.0366419999999996,25.56758400000058,Uncontrolled,10.0,18.866,Low,Not Rated,2018.2,0.07340439,7.9,16.1,10.54,34.54,2.5353875145316125
569,SOAD04945,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.244,0.25,7626.0,1954.0,2005.0,0.0366419999999996,39.94935000000032,Uncontrolled,10.0,26.216,Low,Not Rated,2017.4,0.075152576,7.7,8.5,17.82,34.02,2.55669063448906
1477,SOAD05385,Flumevale,Yes,Water Supply,Earth,7.495,0.156,10670.0,1978.0,2005.0,0.21079,16.51239799999985,Missing,0.5,11.338,Low,Satisfactory,2017.0,0.101487,8.3,9.1,8.2,25.6,2.598067283630371
2592,SOAD16501,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.693,0.3,17150.800000000017,1977.0,1991.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,24.852,Low,Not Rated,2017.6,0.07835826,11.3,17.3,5.180000000000003,33.78,2.6469421166181566
746,SOAD13695,Flumevale,Yes,Water Supply,Earth,6.795,0.057,1550.0,1966.0,2005.0,0.10244,34.62277,Missing,0.5,16.274,Low,Satisfactory,2018.0,0.10164233,5.2,6.3,14.8,26.3,2.673193357139826
2227,SOAD04198,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.119,0.763,17150.800000000017,1974.0,1998.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,30.284,Low,Not Rated,2017.0,0.07628441,19.3,11.6,5.180000000000003,36.08,2.7523414611816404
1517,SOAD02615,Flumevale,No,Other,Earth,5.265,0.033,9151.800000000016,1952.0,2001.0,0.1091379999999997,6.391896000000543,Uncontrolled,10.0,17.858,Low,Not Rated,2017.0,0.07458621,10.0,21.7,5.600000000000001,37.3,2.7820657312870023
2437,SOAD02735,Flumevale,Yes,Water Supply,Rockfill,54.291,0.123,253000.0,1994.0,2002.0,0.12411,0.0,Missing,0.5,13.456,Low,Satisfactory,2017.0,0.09933242,5.7,5.0,17.5,28.2,2.801174300909042
1233,SOAD11627,Flumevale,Yes,Water Supply,Gravity,24.58,0.029,2335.0,1895.0,2003.0,0.02561,42.61264,Missing,0.5,1.934000000000001,Low,Satisfactory,2017.0,0.09942047,8.3,7.0,12.9,28.200000000000003,2.803657338023186
1488,SOAD04999,Flumevale,Yes,Water Supply,Earth,14.775,0.436,48100.0,1993.0,2009.0,0.14578,0.0,Missing,0.5,16.274,Low,Satisfactory,2017.0,0.10374407,9.1,6.5,13.8,29.4,3.050075577199459
1974,SOAD15358,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.261,0.333,15405.00000000003,1975.0,1995.0,0.0228519999999994,29.29619,Uncontrolled,10.0,23.504,Low,Not Rated,2017.6,0.082183726,7.3,18.2,12.36,37.86,3.1114758713543416
1177,SOAD08729,Flumevale,Yes,Water Supply,Earth,8.644,0.087,38000.0,1951.0,2005.0,0.10244,74.57212,Missing,0.5,16.168,Low,Satisfactory,2017.0,0.10290203,6.4,8.7,15.2,30.3,3.1179315827786924
113,SOAD15777,Flumevale,Yes,Missing,Missing,9.761,0.1001999999999999,22839.79999999999,1962.0,1978.0,0.5295359999999998,117.71741799999997,Missing,6.0,15.664,Low,Unsatisfactory,2004.0,0.079194546,9.2,7.1,23.24,39.54,3.1313523387908937
198,SOAD17910,Flumevale,Yes,Water Supply,Earth,19.859,0.04,0.0,1973.0,1997.0,0.0985,19.17568799999981,Missing,0.5,12.398,Low,Fair,2017.0,0.107348695,8.2,10.6,12.2,31.0,3.3278095573186874
330,SOAD17818,Flumevale,Yes,Missing,Earth,5.695,0.067,18659.99999999997,1946.0,2007.0,0.04925,31.426821999999675,Uncontrolled,6.0,43.022,Low,Fair,2018.0,0.08045481,9.9,13.0,19.0,41.9,3.371056599915028
729,SOAD05899,Flumevale,Yes,Water Supply,Earth,8.408,0.183,17280.0,1947.0,2005.0,0.14381,18.110372000000098,Missing,0.5,16.354,Low,Satisfactory,2017.0,0.101323195,6.4,15.6,12.0,34.0,3.444988623261452
280,SOAD01035,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.281,0.42,5121.200000000012,1934.0,2000.0,0.0283679999999995,79.89869999999999,Uncontrolled,10.0,14.642,Low,Not Rated,2017.0,0.083313756,10.0,14.6,17.16,41.760000000000005,3.4791824376583103
637,SOAD03225,Flumevale,Yes,Other,Earth,8.222,0.533,32196.599999999977,2008.0,1995.0,0.04334,0.0,Uncontrolled,6.0,22.608,Low,Satisfactory,2019.0,0.07940213,6.9,9.7,27.24,43.84,3.480989220142365
1003,SOAD02733,Flumevale,No,Fish and Wildlife Pond,Earth,4.787,0.15,5475.000000000029,1907.0,1985.0,0.0271859999999994,13.849108000000117,Uncontrolled,10.0,20.198,Low,Not Rated,2018.2,0.067629404,17.1,16.2,19.64,52.94,3.5803006671369078
733,SOAD08648,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.383,0.16,4299.799999999988,1890.0,1992.0,0.0271859999999994,28.23087400000032,Uncontrolled,10.0,16.65,Low,Not Rated,2018.8,0.07527258,12.7,15.4,19.48,47.58,3.5814694739878177
2538,SOAD05743,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.358,0.142,4628.0,1931.0,1958.0,0.129626,77.23541,Controlled,10.0,38.624,Low,Not Rated,2018.2,0.07411075,11.3,14.3,22.78,48.38,3.585477910041809
1388,SOAD01055,Flumevale,No,Fish and Wildlife Pond,Earth,3.639,0.073,5080.000000000029,1893.0,2005.0,0.0169419999999993,28.23087399999985,Uncontrolled,10.0,20.412,Low,Not Rated,2018.2,0.079511836,7.3,18.2,20.62,46.120000000000005,3.667085884213448
43,SOAD02117,Flumevale,Yes,Recreation,Earth,11.511,0.14,17505.399999999994,1971.0,2003.0,0.01576,0.0,Uncontrolled,6.0,33.304,Low,Fair,2018.0,0.06792185,28.1,23.7,3.9,55.7,3.783246883749962
2410,SOAD17671,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.86,0.142,2549.000000000029,1955.0,1973.0,0.0996819999999996,23.96961,Controlled,10.0,47.924,Low,Not Rated,2015.0,0.0692482,9.6,22.5,22.78,54.88,3.8003411865234376
2815,SOAD12845,Flumevale,No,Irrigation,Earth,4.608,0.4,2549.000000000029,1977.0,1996.0,0.1327779999999996,15.97974,Controlled,10.0,45.326,Low,Not Rated,2014.6,0.07970338,21.7,23.3,2.8,47.8,3.8098217144608495
1308,SOAD18730,Flumevale,Yes,Water Supply,Earth,12.746,0.313,54200.0,1982.0,2006.0,0.08077,2.663290000000188,Missing,0.5,16.274,Low,Satisfactory,2017.0,0.10269302,8.2,12.7,16.3,37.2,3.82018039226532
241,SOAD07219,Flumevale,Yes,Water Supply,Arch,9.394,0.082,1600.0,1927.0,2002.0,0.08274,13.31645,Missing,0.5,7.746,Low,Satisfactory,2017.0,0.10724693,10.0,19.5,6.7,36.2,3.882338790595532
922,SOAD18079,Flumevale,Yes,Other,Arch,20.144,0.087,16564.0,1925.0,2007.0,0.06107,3496.89977,Missing,0.5,32.488,Low,Fair,2017.0,0.09631704,6.1,8.9,25.86,40.86,3.935514170229435
537,SOAD17186,Flumevale,Yes,Water Supply,Earth,11.88,0.147,27961.0,1949.0,2005.0,0.06501,2.66329,Missing,0.5,16.168,Low,Satisfactory,2017.0,0.103049316,15.4,12.8,10.0,38.2,3.936483852565289
1361,SOAD04905,Flumevale,Yes,Water Supply,Earth,6.484,0.443,0.0,1905.0,2003.0,0.1812399999999999,2.66329,Missing,0.5,4.626,Low,Satisfactory,2017.0,0.11163233,8.5,13.9,12.9,35.3,3.9406213268637655
2024,SOAD09753,Flumevale,Yes,Flood Risk Reduction,Earth,14.765,0.13,40000.0,1940.0,1996.0,0.24034,47.93922,Missing,0.5,12.439999999999998,Low,Satisfactory,2017.0,0.09745232,7.7,5.4,27.340000000000003,40.440000000000005,3.940971827208996
2495,SOAD19669,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.53,0.258,4826.0,1920.0,1967.0,0.09653,1243.75643,Controlled,10.0,53.608,Low,Not Rated,2018.2,0.07441771,20.0,11.4,22.78,54.17999999999999,4.03195154428482
1769,SOAD03777,Flumevale,Yes,Water Supply,Earth,9.738,0.06,0.0,1914.0,2005.0,0.17336,13.31645,Missing,0.5,13.509999999999998,Low,Satisfactory,2017.0,0.111032896,10.5,7.5,18.6,36.6,4.063803984224797
2219,SOAD02358,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.532,0.183,2825.000000000029,1931.0,2005.0,0.0366419999999996,37.81871800000022,Uncontrolled,10.0,18.866,Low,Not Rated,2016.6,0.07360389,21.8,14.4,19.34,55.540000000000006,4.087960097044707
846,SOAD12276,Flumevale,Yes,Missing,Earth,3.435,0.15,19099.599999999977,1921.0,1992.0,0.0594939999999994,14.381766000000198,Uncontrolled,6.0,52.832,Low,Not Rated,2015.6,0.078151025,5.4,16.6,30.32,52.32,4.088861621618271
1060,SOAD15734,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.199,0.15,15405.00000000003,1970.0,1995.0,0.0330959999999995,23.96961,Uncontrolled,10.0,23.504,Low,Not Rated,2017.6,0.07581591,22.8,19.0,12.36,54.16,4.106189610362053
1759,SOAD19048,Flumevale,No,Irrigation,Earth,2.469,0.465,4265.200000000012,1910.0,1969.0,0.0784060000000002,277.5148180000001,Controlled,10.0,29.254,Low,Not Rated,2015.4,0.083755426,15.2,18.4,15.6,49.2,4.120766964554787
300,SOAD09560,Flumevale,Yes,Irrigation,Earth,8.707,0.067,17477.399999999994,1975.0,2007.0,0.1087439999999997,0.0,Uncontrolled,6.0,64.072,Low,Fair,2016.0,0.08058011,20.1,12.9,19.3,52.3,4.214339641481637
2948,SOAD04481,Flumevale,No,Fish and Wildlife Pond,Earth,2.802,0.315,3983.761999999988,1986.0,1995.0,0.097318,33.55745399999978,Controlled,10.0,43.648,Low,Not Rated,2016.0,0.07836117,10.3,14.8,29.04,54.14,4.242473662793636
642,SOAD20302,Flumevale,No,Fish and Wildlife Pond,Earth,3.053,0.413,2548.999999999971,1965.0,1967.0,0.0756479999999997,5.32658,Controlled,10.0,22.402,Low,Not Rated,2020.4,0.07198688,20.4,17.0,22.78,60.18,4.332170223444701
357,SOAD02937,Flumevale,Yes,Missing,Earth,4.28,0.867,8750.199999999983,1983.0,2008.0,0.08077,0.0,Uncontrolled,6.0,34.516000000000005,Low,Fair,2020.0,0.08333115,5.5,23.4,23.22,52.12,4.343219683766365
1794,SOAD07574,Flumevale,Yes,Water Supply,Earth,11.6,0.3,18000.0,1955.0,2005.0,0.11229,2.66329,Missing,0.5,16.354,Low,Satisfactory,2017.0,0.10197463,22.2,5.0,15.4,42.6,4.344119189679623
914,SOAD13999,Flumevale,Yes,Missing,Missing,4.79,0.2423999999999999,26559.99999999997,1987.0,1978.0,0.1568119999999999,4262.861974,Missing,6.0,13.37,Low,Not Rated,2015.4,0.07289598,12.6,20.7,26.9,60.2,4.388338078558445
1923,SOAD06341,Flumevale,Yes,Hydroelectric,Earth,6.293,0.117,37759.4,1956.0,1997.0,0.15957,21.30632000000037,Missing,3.0,29.946,Low,Satisfactory,2023.0,0.09462611,7.9,5.0,33.72,46.62,4.41146907672286
2163,SOAD09588,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.504,0.412,2549.000000000029,1980.0,1989.0,0.2186699999999999,34.62277,Controlled,10.0,33.962,Low,Not Rated,2015.6,0.07951833,11.0,23.5,22.78,57.28,4.554810118675232
249,SOAD01341,Flumevale,Yes,Missing,Earth,5.576,0.208,13447.200000000012,1920.0,1995.0,0.1690260000000001,1.5979740000002494,Missing,6.0,31.364000000000004,Low,Fair,2018.0,0.07885875,14.5,14.3,29.66,58.46,4.610082412660122
1240,SOAD10366,Flumevale,Yes,Water Supply,Earth,10.213,0.135,16400.0,1964.0,2005.0,0.1871499999999999,7.98987,Missing,0.5,16.274,Low,Satisfactory,2017.0,0.101323195,23.5,10.8,11.2,45.5,4.610205363482237
2095,SOAD10314,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.832,0.237,15405.00000000003,1975.0,1995.0,0.0244279999999998,10.65316,Uncontrolled,10.0,38.6,Low,Not Rated,2017.6,0.07529886,21.9,21.1,20.64,63.64,4.792019492983818
1489,SOAD07213,Flumevale,Yes,Other,Earth,13.323,0.2,43000.0,1967.0,2012.0,0.12411,7.98987,Missing,0.5,16.022,Low,Satisfactory,2017.0,0.09815218,8.8,7.7,32.34,48.84,4.793752617537976
1343,SOAD14632,Flumevale,Yes,Other,Earth,21.606,0.122,42000.0,1971.0,2012.0,0.11229,53.2658,Missing,0.5,10.6,Low,Satisfactory,2017.0,0.09973524,19.1,11.0,18.34,48.44,4.831174912154674
819,SOAD09866,Flumevale,Yes,Irrigation,Earth,7.01,0.373,12439.99999999997,2008.0,2002.0,0.08274,7.98987,Uncontrolled,6.0,19.654,Low,Not Rated,2017.6,0.07762459,25.5,17.9,19.7,63.1,4.898111578822136
1211,SOAD17715,Flumevale,Yes,Water Supply,Earth,21.433,0.183,125000.0,1997.0,2009.0,0.07289,2.66329,Missing,0.5,16.274,Low,Satisfactory,2017.0,0.10352075,11.6,23.3,12.5,47.4,4.906883597373962
663,SOAD04862,Flumevale,Yes,Other,Earth,12.231,0.175,13000.0,1951.0,2005.0,0.04925,0.0,Missing,0.5,15.836,Low,Satisfactory,2017.0,0.098938555,5.6,17.7,26.9,50.2,4.966715437173844
2200,SOAD06408,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.831,0.023,400.0,1960.0,1967.0,0.1087440000000001,276.98216,Controlled,10.0,25.53,Low,Not Rated,2015.4,0.07449337,22.6,21.7,22.78,67.08,4.997015323340893
1549,SOAD08382,Flumevale,Yes,Fish and Wildlife Pond,Earth,3.597,0.143,7600.0,1970.0,1992.0,0.1812399999999999,42.61264,Missing,5.0,28.236,Low,Unsatisfactory,2018.0,0.07761186,26.5,10.9,27.88,65.28,5.066502456665039
318,SOAD15941,Flumevale,Yes,Other,Buttress,5.082,0.085,460.0,1910.0,2010.0,0.1772999999999999,8557.150770000002,Missing,0.5,9.37,Low,Satisfactory,2017.0,0.0973643,8.8,12.4,31.02,52.22,5.084363693743944
157,SOAD08269,Flumevale,Yes,Other,Earth,12.457,0.09,11674.0,1932.0,2005.0,0.02561,2.66329,Missing,0.5,16.168,Low,Satisfactory,2017.0,0.09931493,5.8,12.8,33.16,51.76,5.140540676116943
1541,SOAD15805,Flumevale,Yes,Fish and Wildlife Pond,Earth,5.112,0.545,26400.0,1908.0,1971.0,0.20094,2.66329,Missing,5.0,28.28,Low,Satisfactory,2018.0,0.08567868,8.3,16.9,36.02,61.22,5.2452488955855365
807,SOAD07659,Flumevale,Yes,Other,Earth,13.911,0.168,41800.0,2003.0,2010.0,0.04137,0.0,Missing,0.5,5.411999999999999,Low,Satisfactory,2017.0,0.098605126,11.4,13.1,28.7,53.2,5.245792710781098
