,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
757,SOAD18809,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.411,0.177,17150.800000000017,1970.0,1998.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,30.284,Low,Not Rated,2018.2,0.04122847,8.0,15.1,5.18,28.28,1.1659411163628102
1412,SOAD01884,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.761,0.44,17150.800000000017,1974.0,1991.0,0.0330959999999995,55.92909,Uncontrolled,10.0,30.284,Low,Not Rated,2017.0,0.04217295,12.5,11.1,5.180000000000003,28.780000000000005,1.2137374941259624
1326,SOAD00519,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.669,0.495,15080.799999999988,1951.0,2005.0,0.0366419999999996,39.94935000000032,Uncontrolled,10.0,18.866,Low,Not Rated,2017.4,0.04429404,5.6,8.1,17.82,31.52,1.396148161292076
569,SOAD04945,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.244,0.25,7626.0,1954.0,2005.0,0.0366419999999996,39.94935000000032,Uncontrolled,10.0,26.216,Low,Not Rated,2017.4,0.041880585,7.7,8.5,17.82,34.02,1.42477751031518
500,SOAD09694,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.816,0.21,4107.0,1955.0,2005.0,0.0366419999999996,25.56758400000058,Uncontrolled,10.0,18.866,Low,Not Rated,2018.2,0.042355355,7.9,16.1,10.54,34.54,1.462953957393765
1517,SOAD02615,Flumevale,No,Other,Earth,5.265,0.033,9151.800000000016,1952.0,2001.0,0.1091379999999997,6.391896000000543,Uncontrolled,10.0,17.858,Low,Not Rated,2017.0,0.04016224,10.0,21.7,5.600000000000001,37.3,1.4980515230447051
2592,SOAD16501,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.693,0.3,17150.800000000017,1977.0,1991.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,24.852,Low,Not Rated,2017.6,0.044383883,11.3,17.3,5.180000000000003,33.78,1.4992875838279724
113,SOAD15777,Flumevale,Yes,Missing,Missing,9.761,0.1001999999999999,22839.79999999999,1962.0,1978.0,0.5295359999999998,117.71741799999997,Missing,6.0,15.664,Low,Unsatisfactory,2004.0,0.037990034,9.2,7.1,23.24,39.54,1.50212592959404
2227,SOAD04198,Flumevale,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.119,0.763,17150.800000000017,1974.0,1998.0,0.0330959999999995,25.567584000000124,Uncontrolled,10.0,30.284,Low,Not Rated,2017.0,0.044329263,19.3,11.6,5.180000000000003,36.08,1.599399818778038
330,SOAD17818,Flumevale,Yes,Missing,Earth,5.695,0.067,18659.99999999997,1946.0,2007.0,0.04925,31.426821999999675,Uncontrolled,6.0,43.022,Low,Fair,2018.0,0.041884366,9.9,13.0,19.0,41.9,1.7549549531191586
