,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
5728,SOAD06718,Lyndrassia,No,Flood Risk Reduction,Earth,10.795,0.28,27350.0,2000.0,1972.0,0.03349,1038.6831,Uncontrolled,5.0,37.936,Low,Not Rated,2016.4,0.029811982,10.1,8.2,14.3,32.599999999999994,0.9718706153333184
4693,SOAD18628,Lyndrassia,No,Flood Risk Reduction,Earth,10.553,0.173,24883.0,1999.0,1972.0,0.06107,1012.0502,Uncontrolled,5.0,54.80800000000001,Low,Not Rated,2016.4,0.034088958,8.9,5.6,15.4,29.9,1.0192598458379507
2350,SOAD08857,Lyndrassia,No,Flood Risk Reduction,Earth,9.149,0.153,14700.0,2004.0,1972.0,0.00788,1680.53599,Uncontrolled,5.0,54.66,Low,Not Rated,2016.4,0.033076376,7.2,9.7,14.08,30.98,1.0247061198949814
1011,SOAD14777,Lyndrassia,No,Irrigation,Earth,3.007,0.069,16678.400000000023,1872.0,2003.0,0.06698,23.96961,Uncontrolled,10.0,18.298,Low,Not Rated,2017.0,0.035929672,17.9,8.5,7.8,34.2,1.2287947967648507
2282,SOAD04009,Lyndrassia,No,Flood Risk Reduction,Earth,10.531,0.18,15514.0,1999.0,1972.0,0.03349,1161.19444,Uncontrolled,5.0,37.936,Low,Not Rated,2016.4,0.034905955,6.5,16.8,14.3,37.6,1.312463915348053
4062,SOAD07157,Lyndrassia,No,Flood Risk Reduction,Earth,9.905,0.177,23860.0,2004.0,1972.0,0.00788,378.18718,Uncontrolled,5.0,57.06400000000001,Low,Not Rated,2018.2,0.040503267,11.9,9.4,12.16,33.46,1.355239320471883
5496,SOAD14863,Lyndrassia,No,Flood Risk Reduction,Earth,10.336,0.167,17682.0,2000.0,1972.0,0.00788,1203.80708,Uncontrolled,5.0,52.52799999999999,Low,Not Rated,2016.4,0.042964485,8.6,9.0,14.3,31.9,1.3705670569092034
2965,SOAD20315,Lyndrassia,No,Flood Risk Reduction,Earth,9.07,0.217,20649.0,2004.0,1972.0,0.09456,844.26293,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2017.2,0.04327956,10.0,9.0,15.919999999999998,34.92,1.51132218003273
3242,SOAD03753,Lyndrassia,No,Flood Risk Reduction,Earth,10.132,0.17,19373.0,2003.0,1973.0,0.02561,183.76701,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2015.6,0.048427194,15.0,4.9,12.04,31.94,1.5467645877599716
2803,SOAD20075,Lyndrassia,No,Flood Risk Reduction,Earth,9.412,0.143,16726.0,2003.0,1972.0,0.10441,2506.15589,Uncontrolled,5.0,57.06399999999999,Low,Not Rated,2018.2,0.04014512,5.2,21.8,12.16,39.16,1.572082958519459
2887,SOAD09024,Lyndrassia,No,Flood Risk Reduction,Gravity,5.61,0.172,9000.0,1973.0,1966.0,0.12214,71.90883,Uncontrolled,5.0,103.432,Low,Not Rated,2018.2,0.054178398,5.0,15.0,9.440000000000005,29.440000000000005,1.5950120401382448
4804,SOAD02717,Lyndrassia,No,Flood Risk Reduction,Earth,8.99,0.177,15619.0,2003.0,1972.0,0.01576,178.44043,Uncontrolled,5.0,57.06399999999999,Low,Not Rated,2017.2,0.036619328,18.2,13.3,12.16,43.66,1.5987998588383197
2996,SOAD12013,Lyndrassia,No,Flood Risk Reduction,Earth,11.568,0.14,23469.0,2004.0,1972.0,0.05122,1326.31842,Uncontrolled,5.0,54.66,Low,Not Rated,2016.2,0.03180576,14.9,18.7,17.02,50.620000000000005,1.6100076298415662
4935,SOAD07350,Lyndrassia,No,Flood Risk Reduction,Earth,14.629,0.205,27837.0,2002.0,1972.0,0.03546,689.79211,Uncontrolled,5.0,70.3,Low,Not Rated,2016.4,0.03656189,27.1,5.2,14.08,46.38,1.695740524828434
2812,SOAD07095,Lyndrassia,No,Grade Stabilization,Earth,7.19,0.133,7300.0,1974.0,1966.0,0.01773,948.13124,Uncontrolled,5.0,87.42,Low,Not Rated,2017.2,0.052715786,7.7,6.0,19.0,32.7,1.7238061957061293
4665,SOAD09940,Lyndrassia,No,Flood Risk Reduction,Earth,13.687,0.092,28282.0,2004.0,1973.0,0.03546,1190.49063,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2016.6,0.054437403,16.7,6.4,8.66,31.76,1.728931907713413
574,SOAD07791,Lyndrassia,No,Grade Stabilization,Earth,13.36,0.167,11720.0,1980.0,1966.0,0.07486,2306.40914,Uncontrolled,5.0,115.862,Low,Not Rated,2016.8,0.047391735,6.7,11.4,19.0,37.1,1.7582333691418173
2532,SOAD16187,Lyndrassia,No,Flood Risk Reduction,Earth,10.539,0.163,15739.0,2002.0,1972.0,0.0591,772.3541,Uncontrolled,5.0,57.06400000000001,Low,Not Rated,2016.4,0.039049402,13.7,16.9,14.72,45.32,1.769718893170357
2828,SOAD15285,Lyndrassia,No,Flood Risk Reduction,Earth,11.814,0.175,24432.0,1999.0,1990.0,0.04137,793.6604199999999,Uncontrolled,5.0,48.05,Low,Not Rated,2014.4,0.059731558,7.8,10.1,12.04,29.94,1.788362845480442
4192,SOAD18703,Lyndrassia,No,Flood Risk Reduction,Earth,10.737,0.167,24254.0,1999.0,1990.0,0.12805,1486.11582,Uncontrolled,5.0,48.05,Low,Not Rated,2014.8,0.059884124,6.6,11.3,12.04,29.94,1.7929306577146054
3232,SOAD20354,Lyndrassia,No,Flood Risk Reduction,Earth,11.409,0.153,19809.0,2000.0,1972.0,0.0788,3286.49986,Uncontrolled,5.0,40.118,Low,Not Rated,2016.4,0.0432493,6.1,21.1,14.3,41.5,1.7948460169136524
2258,SOAD16205,Lyndrassia,No,Flood Risk Reduction,Earth,10.254,0.167,14713.0,1999.0,1972.0,0.04334,801.6502899999999,Uncontrolled,5.0,53.014,Low,Not Rated,2017.4,0.046821266,6.6,14.5,17.68,38.78,1.815728711485863
4755,SOAD03313,Lyndrassia,No,Flood Risk Reduction,Earth,8.989,0.192,23920.0,2001.0,2007.0,0.04925,1323.65513,Uncontrolled,1.0,34.092,Low,Not Rated,2014.4,0.06650736,9.8,6.0,11.74,27.54,1.8316127447783948
5841,SOAD08182,Lyndrassia,No,Flood Risk Reduction,Earth,11.395,0.223,30952.0,1999.0,1972.0,0.01576,822.95661,Uncontrolled,5.0,56.726,Low,Not Rated,2016.4,0.029076636,24.1,23.6,15.4,63.1,1.834735721349716
5949,SOAD08059,Lyndrassia,No,Flood Risk Reduction,Earth,6.394,0.229,13345.0,2005.0,2007.0,0.02364,1020.04007,Uncontrolled,0.0,34.092,Low,Not Rated,2016.6,0.06286486,6.4,6.2,16.6,29.200000000000003,1.8356539815664288
5031,SOAD17823,Lyndrassia,No,Missing,Gravity,13.332,0.42,103000.0,1965.0,1966.0,0.23837,2.66329,Uncontrolled,5.0,109.914,Low,Satisfactory,2018.0,0.05210387,16.1,10.8,8.360000000000001,35.260000000000005,1.8371824426949024
3889,SOAD19756,Lyndrassia,No,Flood Risk Reduction,Earth,10.473,0.143,14611.0,2000.0,1973.0,0.00788,2868.36333,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2015.4,0.047068022,12.7,5.9,20.98,39.58,1.86295231834054
5228,SOAD03655,Lyndrassia,No,Flood Risk Reduction,Earth,10.993,0.197,31208.0,2000.0,1972.0,0.06698,806.97687,Uncontrolled,5.0,57.06400000000001,Low,Not Rated,2016.4,0.035828292,26.2,10.9,15.4,52.5,1.8809853494167328
1085,SOAD16323,Lyndrassia,No,Missing,Earth,8.725,0.083,0.0,1898.0,1966.0,0.0610699999999999,1068.5119479999998,Missing,0.0,22.498,Low,Not Available,2014.8,0.07453775,13.5,8.0,4.099999999999998,25.6,1.9081663131713869
4082,SOAD01130,Lyndrassia,No,Flood Risk Reduction,Earth,10.908,0.193,23017.0,2003.0,1973.0,0.06895,1669.88283,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2016.8,0.04981085,13.6,12.7,12.04,38.34,1.9097479556500916
5941,SOAD11677,Lyndrassia,No,Flood Risk Reduction,Earth,9.664,0.232,22585.0,1993.0,2008.0,0.0394,1044.00968,Uncontrolled,0.0,34.092,Low,Not Rated,2014.8,0.07012735,6.9,8.7,11.74,27.34,1.9172818329930303
5110,SOAD05635,Lyndrassia,No,Flood Risk Reduction,Earth,12.636,0.187,29061.0,2004.0,1972.0,0.04925,2013.44724,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2017.2,0.045482285,23.5,6.4,13.3,43.2,1.964834725856781
4336,SOAD13327,Lyndrassia,No,Flood Risk Reduction,Earth,10.983,0.14,15617.0,2001.0,1972.0,0.04137,857.57938,Uncontrolled,5.0,37.93600000000001,Low,Not Rated,2016.0,0.035190724,30.0,9.3,17.02,56.31999999999999,1.9819415664672848
4493,SOAD18145,Lyndrassia,No,Flood Risk Reduction,Earth,10.027,0.16,22404.0,2004.0,1972.0,0.00788,181.10372,Uncontrolled,5.0,54.66,Low,Not Rated,2016.4,0.036344603,30.2,12.1,14.08,56.38,2.049108700454235
6240,SOAD04112,Lyndrassia,No,Missing,Gravity,10.85,0.444,87000.0,1965.0,1965.0,0.2167,47.93922,Uncontrolled,5.0,97.338,Low,Satisfactory,2018.0,0.043706752,25.7,12.9,8.360000000000001,46.96,2.052469090819359
2810,SOAD06432,Lyndrassia,No,Flood Risk Reduction,Earth,10.366,0.18,18203.0,2003.0,1972.0,0.0591,2077.3662,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2016.4,0.050382342,18.0,5.2,17.6,40.8,2.055599561333656
1831,SOAD06833,Lyndrassia,No,Flood Risk Reduction,Earth,7.984,0.183,12462.0,1999.0,2007.0,0.0197,471.40233,Uncontrolled,1.0,34.092,Low,Not Rated,2014.4,0.068100885,4.9,8.9,16.52,30.32,2.0648188197612765
130,SOAD17220,Lyndrassia,No,Grade Stabilization,Earth,12.706,0.167,7080.0,1974.0,1966.0,0.00788,332.91125,Uncontrolled,5.0,102.942,Low,Not Rated,2017.0,0.059189197,9.2,6.4,19.34,34.94,2.068070531859994
5578,SOAD10192,Lyndrassia,No,Flood Risk Reduction,Earth,10.017,0.202,20430.0,2005.0,2006.0,0.06501,2181.23451,Uncontrolled,0.0,29.76,Low,Not Rated,2016.4,0.077601925,7.7,7.3,11.74,26.74,2.0750754621624945
2006,SOAD17362,Lyndrassia,No,Irrigation,Earth,8.368,0.233,19200.0,1974.0,2004.0,0.04925,2239.82689,Uncontrolled,0.0,43.036,Low,Not Rated,2015.8,0.08539752,7.6,12.6,4.1,24.3,2.075159715861082
7335,SOAD14945,Lyndrassia,No,Flood Risk Reduction,Earth,8.164,0.117,8000.0,1974.0,1966.0,0.04334,2250.48005,Uncontrolled,5.0,115.862,Low,Not Rated,2017.4,0.043772224,22.2,6.8,19.0,48.0,2.101066768169403
439,SOAD09258,Lyndrassia,No,Grade Stabilization,Earth,10.694,0.113,9923.0,1992.0,2008.0,0.03349,902.85531,Uncontrolled,0.0,34.092,Low,Not Rated,2016.0,0.06859983,5.6,13.5,11.74,30.840000000000003,2.115618682801724
5505,SOAD06219,Lyndrassia,No,Flood Risk Reduction,Earth,11.721,0.25,28856.0,1999.0,1972.0,0.00788,1555.36136,Uncontrolled,5.0,56.726,Low,Not Rated,2016.4,0.033934955,24.5,22.6,15.4,62.5,2.120934659615159
2415,SOAD09265,Lyndrassia,No,Flood Risk Reduction,Earth,9.25,0.29,17560.0,2004.0,2005.0,0.02364,844.26293,Uncontrolled,1.0,34.092,Low,Not Rated,2014.4,0.06611441,8.3,12.4,11.74,32.440000000000005,2.1447514849901204
3237,SOAD01308,Lyndrassia,No,Flood Risk Reduction,Earth,12.762,0.173,26029.0,2004.0,1981.0,0.0591,1067.97929,Uncontrolled,5.0,48.05,Low,Not Rated,2015.4,0.059217576,7.9,16.4,12.04,36.34,2.1519667095690966
5780,SOAD12211,Lyndrassia,No,Flood Risk Reduction,Earth,10.71,0.167,24912.0,2000.0,1973.0,0.05713,2167.91806,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2015.4,0.047934934,8.8,15.3,20.98,45.08,2.160906847119332
1354,SOAD18516,Lyndrassia,No,Missing,Gravity,6.625,0.109,7000.0,1971.0,1973.0,0.17139,5.32658,Uncontrolled,5.0,79.806,Low,Unsatisfactory,2018.0,0.09032,10.4,7.3,6.400000000000004,24.1,2.176711965352297
3576,SOAD12931,Lyndrassia,No,Recreation,Earth,9.061,0.082,13641.0,1963.0,2000.0,0.03546,894.86544,Uncontrolled,0.0,14.142,Low,Not Rated,2014.4,0.104174815,8.6,5.3,7.0,20.9,2.177253635972738
5035,SOAD03078,Lyndrassia,No,Flood Risk Reduction,Earth,13.04,0.133,25735.0,1994.0,2011.0,0.0591,1326.31842,Uncontrolled,0.0,34.092,Low,Not Rated,2017.2,0.068987474,14.5,5.5,11.74,31.74,2.1896624198555945
6036,SOAD08420,Lyndrassia,No,Flood Risk Reduction,Earth,12.341,0.171,23710.0,2006.0,2005.0,0.05122,2974.89493,Uncontrolled,0.0,29.76,Low,Not Rated,2016.0,0.07450807,8.9,9.0,11.74,29.64,2.208419222831726
