,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
5728,SOAD06718,Lyndrassia,No,Flood Risk Reduction,Earth,10.795,0.28,27350.0,2000.0,1972.0,0.03349,1038.6831,Uncontrolled,5.0,37.936,Low,Not Rated,2016.4,0.0301,10.1,8.2,14.3,32.599999999999994,1.1857210785150525
1085,SOAD16323,Lyndrassia,No,Missing,Earth,8.725,0.083,0.0,1898.0,1966.0,0.0610699999999999,1068.5119479999998,Missing,0.0,22.498,Low,Not Available,2014.8,0.0619,13.5,8.0,4.099999999999998,25.6,1.2110401153564454
2350,SOAD08857,Lyndrassia,No,Flood Risk Reduction,Earth,9.149,0.153,14700.0,2004.0,1972.0,0.00788,1680.53599,Uncontrolled,5.0,54.66,Low,Not Rated,2016.4,0.0368,7.2,9.7,14.08,30.98,1.245578308776021
1011,SOAD14777,Lyndrassia,No,Irrigation,Earth,3.007,0.069,16678.400000000023,1872.0,2003.0,0.06698,23.96961,Uncontrolled,10.0,18.298,Low,Not Rated,2017.0,0.0353,17.9,8.5,7.8,34.2,1.2609450481832027
5031,SOAD17823,Lyndrassia,No,Missing,Gravity,13.332,0.42,103000.0,1965.0,1966.0,0.23837,2.66329,Uncontrolled,5.0,109.914,Low,Satisfactory,2018.0,0.0382,16.1,10.8,8.360000000000001,35.260000000000005,1.3992808747291567
4693,SOAD18628,Lyndrassia,No,Flood Risk Reduction,Earth,10.553,0.173,24883.0,1999.0,1972.0,0.06107,1012.0502,Uncontrolled,5.0,54.80800000000001,Low,Not Rated,2016.4,0.0382,8.9,5.6,15.4,29.9,1.40965381488204
2282,SOAD04009,Lyndrassia,No,Flood Risk Reduction,Earth,10.531,0.18,15514.0,1999.0,1972.0,0.03349,1161.19444,Uncontrolled,5.0,37.936,Low,Not Rated,2016.4,0.0299,6.5,16.8,14.3,37.6,1.498601633310318
4062,SOAD07157,Lyndrassia,No,Flood Risk Reduction,Earth,9.905,0.177,23860.0,2004.0,1972.0,0.00788,378.18718,Uncontrolled,5.0,57.06400000000001,Low,Not Rated,2018.2,0.0467,11.9,9.4,12.16,33.46,1.5089091280847788
5496,SOAD14863,Lyndrassia,No,Flood Risk Reduction,Earth,10.336,0.167,17682.0,2000.0,1972.0,0.00788,1203.80708,Uncontrolled,5.0,52.52799999999999,Low,Not Rated,2016.4,0.0317,8.6,9.0,14.3,31.9,1.5880344070494177
4755,SOAD03313,Lyndrassia,No,Flood Risk Reduction,Earth,8.989,0.192,23920.0,2001.0,2007.0,0.04925,1323.65513,Uncontrolled,1.0,34.092,Low,Not Rated,2014.4,0.0703,9.8,6.0,11.74,27.54,1.7575436232984063
2812,SOAD07095,Lyndrassia,No,Grade Stabilization,Earth,7.19,0.133,7300.0,1974.0,1966.0,0.01773,948.13124,Uncontrolled,5.0,87.42,Low,Not Rated,2017.2,0.0496,7.7,6.0,19.0,32.7,1.7577987402677535
5578,SOAD10192,Lyndrassia,No,Flood Risk Reduction,Earth,10.017,0.202,20430.0,2005.0,2006.0,0.06501,2181.23451,Uncontrolled,0.0,29.76,Low,Not Rated,2016.4,0.0705,7.7,7.3,11.74,26.74,1.8184041732549667
6240,SOAD04112,Lyndrassia,No,Missing,Gravity,10.85,0.444,87000.0,1965.0,1965.0,0.2167,47.93922,Uncontrolled,5.0,97.338,Low,Satisfactory,2018.0,0.0353,25.7,12.9,8.360000000000001,46.96,1.862826656997204
5941,SOAD11677,Lyndrassia,No,Flood Risk Reduction,Earth,9.664,0.232,22585.0,1993.0,2008.0,0.0394,1044.00968,Uncontrolled,0.0,34.092,Low,Not Rated,2014.8,0.0713,6.9,8.7,11.74,27.34,1.8655912068486211
4665,SOAD09940,Lyndrassia,No,Flood Risk Reduction,Earth,13.687,0.092,28282.0,2004.0,1973.0,0.03546,1190.49063,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2016.6,0.0724,16.7,6.4,8.66,31.76,1.8762098652124408
5949,SOAD08059,Lyndrassia,No,Flood Risk Reduction,Earth,6.394,0.229,13345.0,2005.0,2007.0,0.02364,1020.04007,Uncontrolled,0.0,34.092,Low,Not Rated,2016.6,0.0627,6.4,6.2,16.6,29.200000000000003,1.9456655710935595
3576,SOAD12931,Lyndrassia,No,Recreation,Earth,9.061,0.082,13641.0,1963.0,2000.0,0.03546,894.86544,Uncontrolled,0.0,14.142,Low,Not Rated,2014.4,0.0817,8.6,5.3,7.0,20.9,1.9656665951013563
2803,SOAD20075,Lyndrassia,No,Flood Risk Reduction,Earth,9.412,0.143,16726.0,2003.0,1972.0,0.10441,2506.15589,Uncontrolled,5.0,57.06399999999999,Low,Not Rated,2018.2,0.0487,5.2,21.8,12.16,39.16,1.991332691460848
1831,SOAD06833,Lyndrassia,No,Flood Risk Reduction,Earth,7.984,0.183,12462.0,1999.0,2007.0,0.0197,471.40233,Uncontrolled,1.0,34.092,Low,Not Rated,2014.4,0.074,4.9,8.9,16.52,30.32,1.9939435470104216
3242,SOAD03753,Lyndrassia,No,Flood Risk Reduction,Earth,10.132,0.17,19373.0,2003.0,1973.0,0.02561,183.76701,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2015.6,0.0765,15.0,4.9,12.04,31.94,1.9974060657620432
4935,SOAD07350,Lyndrassia,No,Flood Risk Reduction,Earth,14.629,0.205,27837.0,2002.0,1972.0,0.03546,689.79211,Uncontrolled,5.0,70.3,Low,Not Rated,2016.4,0.0297,27.1,5.2,14.08,46.38,2.0017643798142672
2581,SOAD14141,Lyndrassia,No,Flood Risk Reduction,Gravity,7.367,0.675,53000.0,1972.0,1972.0,0.1832099999999999,5.32658,Uncontrolled,5.0,76.506,Low,Satisfactory,2018.0,0.0392,14.5,17.7,17.32,49.52,2.0482710832357407
2965,SOAD20315,Lyndrassia,No,Flood Risk Reduction,Earth,9.07,0.217,20649.0,2004.0,1972.0,0.09456,844.26293,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2017.2,0.0538,10.0,9.0,15.919999999999998,34.92,2.057524246573448
2006,SOAD17362,Lyndrassia,No,Irrigation,Earth,8.368,0.233,19200.0,1974.0,2004.0,0.04925,2239.82689,Uncontrolled,0.0,43.036,Low,Not Rated,2015.8,0.0871,7.6,12.6,4.1,24.3,2.075850237160921
3232,SOAD20354,Lyndrassia,No,Flood Risk Reduction,Earth,11.409,0.153,19809.0,2000.0,1972.0,0.0788,3286.49986,Uncontrolled,5.0,40.118,Low,Not Rated,2016.4,0.0363,6.1,21.1,14.3,41.5,2.1204907931387424
2258,SOAD16205,Lyndrassia,No,Flood Risk Reduction,Earth,10.254,0.167,14713.0,1999.0,1972.0,0.04334,801.6502899999999,Uncontrolled,5.0,53.014,Low,Not Rated,2017.4,0.0525,6.6,14.5,17.68,38.78,2.129894790947437
3889,SOAD19756,Lyndrassia,No,Flood Risk Reduction,Earth,10.473,0.143,14611.0,2000.0,1973.0,0.00788,2868.36333,Uncontrolled,5.0,54.45399999999999,Low,Not Rated,2015.4,0.0649,12.7,5.9,20.98,39.58,2.134660848975181
5035,SOAD03078,Lyndrassia,No,Flood Risk Reduction,Earth,13.04,0.133,25735.0,1994.0,2011.0,0.0591,1326.31842,Uncontrolled,0.0,34.092,Low,Not Rated,2017.2,0.0674,14.5,5.5,11.74,31.74,2.1458017364144326
439,SOAD09258,Lyndrassia,No,Grade Stabilization,Earth,10.694,0.113,9923.0,1992.0,2008.0,0.03349,902.85531,Uncontrolled,0.0,34.092,Low,Not Rated,2016.0,0.0707,5.6,13.5,11.74,30.840000000000003,2.157672498822212
332,SOAD07255,Lyndrassia,No,Grade Stabilization,Earth,9.158,0.09,5492.0,1991.0,2008.0,0.04137,1701.84231,Uncontrolled,0.0,34.092,Low,Not Rated,2014.8,0.0737,10.2,5.1,17.5,32.8,2.1712716341018674
1152,SOAD19845,Lyndrassia,No,Flood Risk Reduction,Earth,9.379,0.253,23650.0,2004.0,2006.0,0.01182,95.87844,Uncontrolled,1.0,34.092,Low,Not Rated,2016.2,0.0552,10.2,6.8,17.84,34.84,2.172929086983204
101,SOAD06955,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.837,0.108,8200.0,2001.0,2002.0,0.07683,3086.75311,Uncontrolled,0.0,34.092,Low,Not Rated,2015.4,0.0634,6.7,12.3,16.6,35.6,2.1733118876814843
2828,SOAD15285,Lyndrassia,No,Flood Risk Reduction,Earth,11.814,0.175,24432.0,1999.0,1990.0,0.04137,793.6604199999999,Uncontrolled,5.0,48.05,Low,Not Rated,2014.4,0.0843,7.8,10.1,12.04,29.94,2.174261893182993
