,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
1330,SOAD02975,Navaldia,Yes,Flood Risk Reduction,Earth,8.746,0.1,68001.4,1991.0,2007.0,0.05516,15.97974,Missing,5.0,43.06,Low,Satisfactory,2014.8,0.0469,5.6,9.1,20.2,34.9,0.6266011426225304
615,SOAD15424,Navaldia,Yes,Recreation,Earth,5.426,0.128,28065.4,1969.0,2009.0,0.1040160000000001,2.66329,Missing,5.0,33.518,Low,Satisfactory,2014.0,0.0447,8.5,5.2,5.8,19.5,0.7283063102513552
442,SOAD12436,Navaldia,Yes,Flood Risk Reduction,Earth,10.106,0.083,72627.40000000002,1992.0,2007.0,0.0795880000000002,7.98987,Missing,5.0,36.574,Low,Satisfactory,2014.8,0.0435,7.3,19.6,13.2,40.1,0.736887244321406
416,SOAD08980,Navaldia,Yes,Recreation,Earth,9.037,0.11,28038.79999999999,1919.0,2007.0,0.02167,15.97974,Missing,5.0,24.922,Low,Satisfactory,2014.0,0.0456,8.5,10.3,3.7,22.5,0.7639374677091837
507,SOAD19438,Navaldia,Yes,Recreation,Earth,12.142,0.1303999999999999,43876.00000000003,1978.0,2006.0,0.0484619999999997,0.0,Missing,5.0,15.126,Low,Satisfactory,2014.2,0.023,11.9,7.0,7.2,26.1,0.7981419140473008
605,SOAD09610,Navaldia,Yes,Recreation,Concrete,2.787,0.093,41694.79999999999,1927.0,2005.0,0.1154420000000002,520.9395240000001,Missing,5.0,24.654,Low,Satisfactory,2014.0,0.0368,14.9,6.6,6.0,27.5,0.8007554383948445
3642,SOAD07821,Navaldia,Yes,Grade Stabilization,Earth,5.406,0.162,66106.0,1953.0,2007.0,0.13987,29.29619,Missing,5.0,29.644,Low,Satisfactory,2014.8,0.0364,9.8,7.8,6.559999999999999,24.16,0.839936653971672
1762,SOAD16719,Navaldia,Yes,Recreation,Earth,4.023,0.074,22640.199999999983,1914.0,2010.0,0.0394,2.66329,Missing,5.0,39.176,Low,Fair,2014.0,0.0498,10.3,5.7,4.0,20.0,0.8538161218166351
6299,SOAD09144,Navaldia,Yes,Other,Earth,39.377,0.662,141361.2,1980.0,1999.0,0.20685,0.0,Missing,5.0,16.116,Low,Satisfactory,2014.8,0.0394,7.2,11.5,6.74,25.44,0.9337842589616776
940,SOAD08546,Navaldia,Yes,Recreation,Earth,2.727,0.0781999999999999,28065.4,1958.0,2006.0,0.1832099999999999,5.32658,Missing,5.0,25.01,Low,Satisfactory,2014.0,0.048,9.3,15.6,6.9,31.8,0.9384799797087908
