ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD00072,Navaldia,Yes,Recreation,Earth,0.0,,,,,0.02364,2.66329,,11/08/2015,2.0,,Significant,Satisfactory,,0.1258,20.8,296.9,8.1
SOAD00380,Navaldia,No,,Earth,2.713,,,1927.0,,,,,07/11/2018,5.0,,High,Not Available,,0.0757,930.5,727.5,
SOAD00610,Navaldia,Yes,Recreation,Earth,0.0,,,,,,,,,2.0,,Significant,Satisfactory,,0.1375,355.5,427.3,8.6
SOAD00862,Navaldia,Yes,,,0.0,,,,,,,,,2.0,,Significant,Not Rated,,0.1403,295.1,25.3,
SOAD04339,Navaldia,Yes,Recreation,Earth,8.084,0.14,,,,,2.66329,,26/06/2017,2.0,,Significant,Fair,,0.1198,463.4,228.2,5.1
SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,0.0,,,,,,,,26/02/2021,1.0,,High,Not Rated,,0.1131,874.0,743.5,
SOAD05158,Navaldia,Yes,Recreation,Earth,4.848,,,,,0.00788,2.66329,,02/03/2018,2.0,,Significant,Fair,,0.1556,13.9,25.1,2.9
SOAD05688,Navaldia,Yes,Irrigation,Earth,0.0,,,,,,2.66329,,03/03/2021,2.0,,Significant,Satisfactory,,0.1126,106.2,189.6,47.1
SOAD06129,Navaldia,No,Flood Risk Reduction,Rockfill,10.0,3.913,,1979.0,,,,Uncontrolled,15/07/2021,5.0,,High,Not Available,,0.0598,622.1,806.0,
SOAD11005,Navaldia,No,Flood Risk Reduction,Earth,16.88,2.235,2300000.0,1966.0,,0.0,0.0,,08/06/2022,5.0,,High,Not Available,,0.0615,13.3,621.3,
SOAD12910,Navaldia,Yes,,,0.0,,,,,,,,,2.0,,Significant,Unsatisfactory,,0.1771,453.8,472.6,
SOAD14215,Navaldia,Yes,,,0.0,,,,,,5.32658,,,2.0,,Significant,Not Rated,,0.1373,68.1,175.4,
SOAD14437,Navaldia,Yes,,Earth,9.103,0.067,,1964.0,,,5.32658,,19/12/2018,2.0,,Significant,Fair,,0.1439,333.9,179.7,
SOAD15410,Navaldia,Yes,Other,Earth,0.0,,,,,,10.65316,,16/03/2021,2.0,,Significant,Poor,,0.1527,39.4,421.5,
SOAD17553,Navaldia,Yes,Recreation,Earth,3.419,,,,,,2.66329,,,2.0,,Significant,Not Rated,,0.1362,271.6,123.8,5.6
SOAD18532,Navaldia,Yes,Recreation,Earth,0.0,,,,,,,,,2.0,,Significant,Not Rated,,0.1365,429.3,42.4,3.0
SOAD14594,Navaldia,Yes,Recreation,Earth,2.825,0.067,,,,0.06501,13.31645,,05/12/2018,2.0,,Significant,Poor,,0.1398,6.7,235.1,5.2
SOAD16049,Navaldia,Yes,Debris Control,Gravity,4.704,0.027,,1966.0,,,2.66329,,26/08/2020,1.0,,High,Fair,,0.1113,662.4,805.4,
SOAD02827,Navaldia,Yes,Recreation,Earth,3.001,0.163,5550.0,,,0.00591,0.0,Uncontrolled,15/03/2023,,,High,Fair,15/08/2023,0.0916,40.3,690.1,4.6
SOAD04177,Navaldia,Yes,Flood Risk Reduction,Earth,7.397,0.025,,1999.0,2005H,,2.66329,,29/11/2018,2.0,,Significant,Satisfactory,,0.121,185.5,218.2,
SOAD08152,Navaldia,Yes,,,3.452,0.047,,,,,,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0753,611.0,934.6,
SOAD10896,Navaldia,Yes,Recreation,Earth,3.556,0.06,,1973.0,,0.00394,2.66329,,17/11/2017,2.0,,Significant,Satisfactory,,0.1378,28.1,103.3,4.6
SOAD17150,Navaldia,Yes,Flood Risk Reduction,Earth,6.819,0.067,,1948.0,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0985,39.2,851.5,
SOAD17354,Navaldia,Yes,,Earth,10.606,0.053,,2008.0,,0.02364,0.0,Uncontrolled,15/06/2022,5.0,1.67,Significant,Fair,25/08/2022,0.1097,8.0,865.3,
SOAD02782,Navaldia,Yes,Flood Risk Reduction,Earth,4.227,0.083,,1991.0,,0.00591,2.66329,,25/04/2019,2.0,,Significant,Fair,,0.1357,47.1,418.9,
SOAD14624,Navaldia,Yes,Flood Risk Reduction,Earth,3.41,0.063,,1985.0,,,2.66329,,14/04/2020,2.0,,Significant,Fair,,0.1433,373.8,255.4,
SOAD15975,Navaldia,No,,Earth,5.836,0.027,,,,0.00394,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.1649,13.3,322.8,
SOAD13160,Navaldia,Yes,,Earth,2.784,0.133,,,,0.01379,0.0,Uncontrolled,07/12/2021,2.0,1.61,High,Poor,17/03/2022,0.1141,36.1,107.1,
SOAD14607,Navaldia,No,,Earth,5.355,0.123,,1965.0,,0.00788,0.0,Uncontrolled,17/10/2007,,,Significant,Not Rated,18/06/2014,0.1451,7.9,446.3,
SOAD15607,Navaldia,Yes,Flood Risk Reduction,Earth,6.12,0.04,,1992.0,,,2.66329,,19/07/2019,2.0,,Significant,Satisfactory,,0.1106,186.3,161.6,
SOAD18799,Navaldia,Yes,Flood Risk Reduction,Earth,3.336,0.123,,,,,2.66329,,04/12/2020,1.0,,High,Satisfactory,,0.1017,532.3,925.3,
SOAD01460,Navaldia,Yes,,Earth,9.399,0.133,,1948.0,,0.0,2.66329,Uncontrolled,12/02/2020,2.0,,High,Poor,31/03/2021,0.13,41.8,596.3,
SOAD07202,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.746,0.11,,1990.0,1991S,0.00788,0.0,Uncontrolled,08/07/2009,5.0,,Significant,Not Rated,08/07/2014,0.0923,19.0,308.6,
SOAD10724,Navaldia,Yes,,,4.217,0.143,,2021.0,,0.00788,,Uncontrolled,21/04/2021,5.0,,Significant,Fair,23/08/2021,0.1184,7.5,369.0,
SOAD14722,Navaldia,Yes,Flood Risk Reduction,Earth,3.556,0.053,,1998.0,,,7.98987,,29/12/2020,1.0,,High,Satisfactory,,0.1039,625.3,716.1,
SOAD20423,Navaldia,Yes,Flood Risk Reduction,Earth,3.25,0.117,,1994.0,,,2.66329,,28/01/2021,1.0,,High,Fair,,0.096,632.1,897.7,
SOAD00063,Navaldia,No,Recreation,Earth,3.509,0.0,,1982.0,,0.0,0.0,,28/07/2009,,,Significant,Not Rated,28/07/2014,0.1722,36.1,42.1,5.5
SOAD04234,Navaldia,Yes,Flood Risk Reduction,Earth,4.295,0.1,,1948.0,,0.0,0.0,Uncontrolled,12/02/2020,5.0,0.0,High,Fair,31/03/2021,0.0574,42.9,263.9,
SOAD05848,Navaldia,Yes,Recreation,Earth,4.178,0.067,,1973.0,,0.00591,2.66329,,17/11/2017,2.0,,Significant,Poor,,0.1479,25.0,424.5,6.3
SOAD12960,Navaldia,Yes,Water Supply,Earth,6.807,0.067,,1915.0,,0.00788,10.65316,,14/10/2020,1.0,,High,Poor,,0.1269,35.4,874.2,17.0
SOAD13126,Navaldia,Yes,,,5.159,0.117,,,,0.01773,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0779,37.4,797.4,
SOAD20772,Navaldia,Yes,Flood Risk Reduction,,8.209,0.083,,1934.0,,0.0,0.0,Uncontrolled,12/02/2020,5.0,,High,Fair,28/08/2020,0.074,37.9,914.9,
SOAD01504,Navaldia,Yes,,,3.262,0.173,,,,0.01576,,Uncontrolled,05/12/2019,5.0,,High,Fair,01/07/2019,0.087,26.0,594.1,
SOAD05174,Navaldia,Yes,Flood Risk Reduction,Earth,8.942,0.09,,,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0881,27.2,305.0,
SOAD06379,Navaldia,No,,Earth,7.121,0.024,,,,0.00591,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.111,23.1,392.8,
SOAD09118,Navaldia,Yes,Recreation,Earth,7.888,0.1,,,2002H,0.02955,23.96961,Uncontrolled,27/08/2020,2.0,,Significant,Satisfactory,,0.1212,5.9,71.8,8.3
SOAD10640,Navaldia,Yes,Flood Risk Reduction,Earth,3.884,0.058,4140.0,2009.0,,0.00788,0.0,Uncontrolled,08/12/2021,5.0,,Significant,Fair,27/07/2022,0.1218,9.4,124.5,
SOAD11247,Navaldia,Yes,Recreation,Earth,3.242,0.04,,1936.0,,0.02167,2.66329,,29/06/2017,2.0,,Significant,Fair,,0.1364,6.1,252.1,6.0
SOAD11707,Navaldia,No,,Earth,5.459,0.039,,,,0.00788,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.1546,32.1,400.2,
SOAD15867,Navaldia,Yes,Recreation,Earth,5.156,0.183,,1982.0,2002S,0.03349,2.66329,,19/01/2021,1.0,,High,Fair,,0.1167,15.5,887.5,8.2
SOAD04965,Navaldia,No,,,4.496,0.07,,,,,,Uncontrolled,30/08/2022,,,Significant,Fair,10/04/2023,0.1312,127.5,319.7,
SOAD05893,Navaldia,Yes,Other,Earth,7.354,0.048,,,,0.00788,7.98987,,29/03/2017,2.0,,Significant,Not Rated,,0.167,17.2,74.7,
SOAD12488,Navaldia,No,Other,Earth,4.199,0.043,,,,0.00788,0.0,Uncontrolled,24/08/2009,,,Significant,Not Rated,24/08/2014,0.1619,44.7,473.7,
SOAD18907,Navaldia,Yes,Flood Risk Reduction,Earth,4.068,0.125,,1986.0,,,2.66329,,28/01/2021,1.0,,High,Satisfactory,,0.085,862.4,828.4,
SOAD00892,Navaldia,Yes,Flood Risk Reduction,Earth,4.974,0.147,,1993.0,,,2.66329,,27/07/2018,2.0,,Significant,Not Rated,,0.1355,310.9,31.4,
SOAD11305,Navaldia,Yes,Recreation,Earth,5.32,0.067,,,,0.00591,7.98987,,12/10/2020,1.0,,High,Satisfactory,,0.0907,42.2,713.7,5.9
SOAD14530,Navaldia,Yes,Flood Risk Reduction,Earth,3.487,0.16,,1979.0,,,2.66329,,22/03/2019,2.0,,Significant,Fair,,0.1276,388.0,302.4,
SOAD15004,Navaldia,Yes,Recreation,Earth,6.437,0.05,,,,0.00985,2.66329,,23/03/2021,1.0,,High,Fair,,0.1056,12.8,805.9,7.1
SOAD15153,Navaldia,Yes,Recreation,Earth,6.847,0.067,,,,0.01182,2.66329,,15/11/2017,2.0,,Significant,Satisfactory,,0.1042,43.1,350.0,8.7
SOAD15297,Navaldia,Yes,Recreation,Earth,3.795,0.037,,,,0.01576,2.66329,,04/12/2020,2.0,,Significant,Fair,,0.1444,27.9,276.7,6.6
SOAD20131,Navaldia,Yes,Recreation,Earth,3.533,0.15,,,1991S,0.01773,0.0,Uncontrolled,14/09/2016,5.0,1.61,High,Not Rated,14/09/2021,0.1054,43.2,904.3,4.7
SOAD00226,Navaldia,Yes,Flood Risk Reduction,Earth,8.065,0.083,,1965.0,,0.00985,0.0,,19/10/2018,2.0,,Significant,Satisfactory,,0.122,18.4,339.5,
SOAD01190,Navaldia,Yes,Recreation,Earth,5.321,0.133,,1968.0,1975S,0.00788,0.0,Uncontrolled,26/03/2015,5.0,,High,Not Rated,26/03/2020,0.1004,9.5,590.0,3.1
SOAD04969,Navaldia,Yes,,,3.854,0.073,,,,0.01773,,Uncontrolled,29/11/2022,2.0,,Significant,Unsatisfactory,10/04/2023,0.1767,14.6,169.9,
SOAD06606,Navaldia,Yes,Flood Risk Reduction,Earth,9.137,0.067,,,,,2.66329,,19/10/2018,2.0,,Significant,Satisfactory,,0.1135,217.4,441.6,
SOAD09548,Navaldia,Yes,,Concrete,4.184,0.03,,,,0.01773,2.66329,Uncontrolled,27/09/2021,5.0,,High,Satisfactory,17/03/2022,0.0648,39.9,900.3,
SOAD10931,Navaldia,Yes,Water Supply,Earth,8.504,0.055,,1915.0,,0.01773,10.65316,,14/10/2020,1.0,,High,Poor,,0.1244,41.7,670.2,16.5
SOAD11393,Navaldia,Yes,Flood Risk Reduction,Earth,6.931,0.09,,1948.0,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0739,5.1,128.3,
SOAD16710,Navaldia,Yes,Recreation,Stone,8.023,0.05,,1886.0,,0.06501,47.93922,,05/01/2021,1.0,,High,Fair,,0.0816,22.7,612.4,7.2
SOAD19959,Navaldia,Yes,Recreation,Earth,5.04,0.083,,,,,2.66329,,21/09/2017,2.0,,Significant,Fair,,0.1325,124.5,308.9,3.9
SOAD00463,Navaldia,Yes,Flood Risk Reduction,Earth,3.213,0.028,,,,,2.66329,,07/10/2016,2.0,,Significant,Fair,,0.1296,78.2,288.6,
SOAD01251,Navaldia,Yes,Flood Risk Reduction,Concrete,5.496,0.167,,1995.0,,0.0,0.0,Uncontrolled,19/10/2018,,,Significant,Fair,03/09/2019,0.1507,19.3,311.1,
SOAD01374,Navaldia,Yes,Flood Risk Reduction,Earth,3.889,0.117,,,2003H,,0.0,Uncontrolled,25/10/2017,2.0,,Significant,Fair,,0.1215,451.1,348.9,
SOAD03552,Navaldia,Yes,Recreation,Earth,4.689,0.07,,1982.0,,0.01576,5.32658,,08/09/2017,2.0,,Significant,Poor,,0.137,18.6,32.5,6.1
SOAD05302,Navaldia,Yes,Recreation,Earth,6.739,0.073,,1986.0,,0.01773,0.0,Uncontrolled,19/10/2016,5.0,7.18,Significant,Not Rated,19/10/2021,0.1423,27.0,135.5,7.5
SOAD06430,Navaldia,Yes,Other,,6.183,,,,,,0.0,,08/08/2018,2.0,,Significant,Not Rated,,0.1592,342.4,186.7,
SOAD08078,Navaldia,Yes,Flood Risk Reduction,Earth,6.5,0.2,,,,,13.31645,,09/08/2018,2.0,,Significant,Not Rated,,0.1676,188.6,94.0,
SOAD08991,Navaldia,Yes,Flood Risk Reduction,Earth,4.186,0.133,,,,,2.66329,,26/03/2019,2.0,,Significant,Poor,,0.1478,460.0,314.3,
SOAD10981,Navaldia,Yes,,,5.126,0.092,,,,0.01182,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0956,15.6,865.9,
SOAD14340,Navaldia,Yes,,,4.179,0.092,,,,0.01182,0.0,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.1023,17.7,866.7,
